"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mcpa_auto_pcp","pdbc_pfx","Auto PCP Assignment Criteria","Prefix","char"
"dbo","cmc_mcpa_auto_pcp","mcpa_zip_ind","Auto PCP Assignment Criteria","Zip Code","char"
"dbo","cmc_mcpa_auto_pcp","mcpa_city_ind","Auto PCP Assignment Criteria","City/State","char"
"dbo","cmc_mcpa_auto_pcp","mcpa_county_ind","Auto PCP Assignment Criteria","County/State","char"
"dbo","cmc_mcpa_auto_pcp","mcpa_state_ind","Auto PCP Assignment Criteria","State","char"
"dbo","cmc_mcpa_auto_pcp","mcpa_lang_ind","Auto PCP Assignment Criteria","Language","char"
"dbo","cmc_mcpa_auto_pcp","mcpa_re_value_ind","Auto PCP Assignment Criteria","Related Entity Hierarchy Applies","char"
"dbo","cmc_mcpa_auto_pcp","mcpa_family_pcp_ind","Auto PCP Assignment Criteria","Assign Family to the same PCP","char"
"dbo","cmc_mcpa_auto_pcp","mcpa_pcp_radius","Auto PCP Assignment Criteria","Specified Distance Miles","smallint"
"dbo","cmc_mcpa_auto_pcp","mcpa_rad_rest_ind","Auto PCP Assignment Criteria","Match Not Restrictive","char"
"dbo","cmc_mcpa_auto_pcp","mcpa_service_area","Auto PCP Assignment Criteria","Validate PCP Service Area","char"
"dbo","cmc_mcpa_auto_pcp","mcpa_lock_token","Auto PCP Assignment Criteria","Lock Token","smallint"
"dbo","cmc_mcpa_auto_pcp","atxr_source_id","Auto PCP Assignment Criteria","Attachment Source Id","datetime"
"dbo","cmc_mcpa_auto_pcp","sys_last_upd_dtm","Auto PCP Assignment Criteria","Last Update Datetime","datetime"
"dbo","cmc_mcpa_auto_pcp","sys_usus_id","Auto PCP Assignment Criteria","Last Update User ID","varchar"
"dbo","cmc_mcpa_auto_pcp","sys_dbuser_id","Auto PCP Assignment Criteria","Last Update DBMS User ID","varchar"
