"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mcpc_pcp_chg","mcpc_ref_id","Mass PCP Change","Reference ID","char"
"dbo","cmc_mcpc_pcp_chg","syin_inst","Mass PCP Change","N/A","bigint"
"dbo","cmc_mcpc_pcp_chg","mcpc_create_dtm","Mass PCP Change","Mass PCP Change Request Create Date","datetime"
"dbo","cmc_mcpc_pcp_chg","mcpc_type","Mass PCP Change","Mass PCP Change Request Type","char"
"dbo","cmc_mcpc_pcp_chg","mcpc_sts","Mass PCP Change","Status","char"
"dbo","cmc_mcpc_pcp_chg","mcpc_err_sts","Mass PCP Change","Error Status","char"
"dbo","cmc_mcpc_pcp_chg","usus_id","Mass PCP Change","User Identifier","char"
"dbo","cmc_mcpc_pcp_chg","mcpc_prpr_id_from","Mass PCP Change","Provider ID","char"
"dbo","cmc_mcpc_pcp_chg","mcpc_pcp_type_from","Mass PCP Change","PCP Type","char"
"dbo","cmc_mcpc_pcp_chg","mcpc_mepr_term_dt","Mass PCP Change","Termination Date","datetime"
"dbo","cmc_mcpc_pcp_chg","mepr_mctr_trsn","Mass PCP Change","Termination Reason","char"
"dbo","cmc_mcpc_pcp_chg","nwst_pfx","Mass PCP Change","Network Set Prefix","char"
"dbo","cmc_mcpc_pcp_chg","nwpr_pfx","Mass PCP Change","Network/Provider Relationship Prefix","char"
"dbo","cmc_mcpc_pcp_chg","nwnw_id","Mass PCP Change","Network ID","char"
"dbo","cmc_mcpc_pcp_chg","mcpc_prpr_id_to","Mass PCP Change","Provider ID","char"
"dbo","cmc_mcpc_pcp_chg","mcpc_pcp_type_to","Mass PCP Change","PCP Type","char"
"dbo","cmc_mcpc_pcp_chg","mcpc_mepr_eff_dt","Mass PCP Change","Effective date","datetime"
"dbo","cmc_mcpc_pcp_chg","grgr_ck","Mass PCP Change","Group Contrived Key","int"
"dbo","cmc_mcpc_pcp_chg","sgsg_ck","Mass PCP Change","Subgroup Contrived Key","int"
"dbo","cmc_mcpc_pcp_chg","cscs_id","Mass PCP Change","Class ID","char"
"dbo","cmc_mcpc_pcp_chg","cspi_id","Mass PCP Change","Plan ID","char"
"dbo","cmc_mcpc_pcp_chg","pdpd_id","Mass PCP Change","Product ID","char"
"dbo","cmc_mcpc_pcp_chg","mcpc_gender","Mass PCP Change","Gender","char"
"dbo","cmc_mcpc_pcp_chg","mcpc_min_age","Mass PCP Change","Minimum Age","int"
"dbo","cmc_mcpc_pcp_chg","mcpc_max_age","Mass PCP Change","Maximum Age","int"
"dbo","cmc_mcpc_pcp_chg","mcpc_city","Mass PCP Change","City","char"
"dbo","cmc_mcpc_pcp_chg","mcpc_county","Mass PCP Change","County","char"
"dbo","cmc_mcpc_pcp_chg","mcpc_state","Mass PCP Change","State","char"
"dbo","cmc_mcpc_pcp_chg","mcpc_zip","Mass PCP Change","ZIP Code","char"
"dbo","cmc_mcpc_pcp_chg","mcpc_city_exact","Mass PCP Change","Exact City Match","char"
"dbo","cmc_mcpc_pcp_chg","mcpc_county_exact","Mass PCP Change","Exact County Match","char"
"dbo","cmc_mcpc_pcp_chg","mcpc_mem_sel_cnt","Mass PCP Change","NA","int"
"dbo","cmc_mcpc_pcp_chg","mcpc_mem_disq_cnt","Mass PCP Change","N/A","int"
"dbo","cmc_mcpc_pcp_chg","mcpc_mem_proc_cnt","Mass PCP Change","Member Process Count","int"
"dbo","cmc_mcpc_pcp_chg","mcpc_mem_err_cnt","Mass PCP Change","Member Error Count","int"
"dbo","cmc_mcpc_pcp_chg","mcpc_lock_token","Mass PCP Change","Lock Token","smallint"
"dbo","cmc_mcpc_pcp_chg","atxr_source_id","Mass PCP Change","Attachment Source Id","datetime"
"dbo","cmc_mcpc_pcp_chg","mcpc_ipa_id_nvl","Mass PCP Change","","char"
