"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mcpd_proc_def","pzap_app_id","Procedure Definition for Facets Columns","Application ID","char"
"dbo","cmc_mcpd_proc_def","mcpd_source","Procedure Definition for Facets Columns","Source ID","char"
"dbo","cmc_mcpd_proc_def","mcpd_column","Procedure Definition for Facets Columns","Column token","varchar"
"dbo","cmc_mcpd_proc_def","mcpd_label","Procedure Definition for Facets Columns","Label token","varchar"
"dbo","cmc_mcpd_proc_def","mcpd_type","Procedure Definition for Facets Columns","Type of Data","char"
"dbo","cmc_mcpd_proc_def","mcpd_attribute","Procedure Definition for Facets Columns","Attribute","smallint"
"dbo","cmc_mcpd_proc_def","mcpd_func_ind","Procedure Definition for Facets Columns","Function value","char"
"dbo","cmc_mcpd_proc_def","mcpd_act_filter","Procedure Definition for Facets Columns","Action Filter","char"
"dbo","cmc_mcpd_proc_def","mcpd_col_len","Procedure Definition for Facets Columns","Column Length","smallint"
"dbo","cmc_mcpd_proc_def","mcpd_disply_order","Procedure Definition for Facets Columns","Display Order","smallint"
"dbo","cmc_mcpd_proc_def","mcpd_lock_token","Procedure Definition for Facets Columns","Lock Token","smallint"
"dbo","cmc_mcpd_proc_def","atxr_source_id","Procedure Definition for Facets Columns","Attachment Source Id","datetime"
"dbo","cmc_mcpd_proc_def","mcpd_auto_clk_ind_nvl","Procedure Definition for Facets Columns","CS Auto Click Notes Indicator","char"
