"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mcpm_pbp_map","grgr_id","Medicare Group  Plan Benefit Package  Low Income Subsidy level mapping","Group ID","char"
"dbo","cmc_mcpm_pbp_map","metr_pbp_id","Medicare Group  Plan Benefit Package  Low Income Subsidy level mapping","Plan Benefit Package ID","char"
"dbo","cmc_mcpm_pbp_map","metr_partd_sbsdy","Medicare Group  Plan Benefit Package  Low Income Subsidy level mapping","Part D Low Income Subsidy","char"
"dbo","cmc_mcpm_pbp_map","metr_copay_cat","Medicare Group  Plan Benefit Package  Low Income Subsidy level mapping","Copay Category","char"
"dbo","cmc_mcpm_pbp_map","mcpm_eff_dt","Medicare Group  Plan Benefit Package  Low Income Subsidy level mapping","Effective Date","datetime"
"dbo","cmc_mcpm_pbp_map","mcpm_term_dt","Medicare Group  Plan Benefit Package  Low Income Subsidy level mapping","Termination Date","datetime"
"dbo","cmc_mcpm_pbp_map","sgsg_id","Medicare Group  Plan Benefit Package  Low Income Subsidy level mapping","Subgroup ID","char"
"dbo","cmc_mcpm_pbp_map","cscs_id","Medicare Group  Plan Benefit Package  Low Income Subsidy level mapping","Class ID","char"
"dbo","cmc_mcpm_pbp_map","cspd_cat","Medicare Group  Plan Benefit Package  Low Income Subsidy level mapping","Category","char"
"dbo","cmc_mcpm_pbp_map","cspi_id","Medicare Group  Plan Benefit Package  Low Income Subsidy level mapping","Plan ID","char"
"dbo","cmc_mcpm_pbp_map","mcpm_rx_group","Medicare Group  Plan Benefit Package  Low Income Subsidy level mapping","Rx Group","varchar"
"dbo","cmc_mcpm_pbp_map","mcpm_rxbin","Medicare Group  Plan Benefit Package  Low Income Subsidy level mapping","Rx Bin","char"
"dbo","cmc_mcpm_pbp_map","mcpm_rxpcn","Medicare Group  Plan Benefit Package  Low Income Subsidy level mapping","Rx PCN","char"
"dbo","cmc_mcpm_pbp_map","mcpm_lock_token","Medicare Group  Plan Benefit Package  Low Income Subsidy level mapping","Lock Token","smallint"
"dbo","cmc_mcpm_pbp_map","atxr_source_id","Medicare Group  Plan Benefit Package  Low Income Subsidy level mapping","Attachment Source Id","datetime"
