"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mcpn_pref_net","pdbc_pfx","Preferred Networks","Product Component Prefix","char"
"dbo","cmc_mcpn_pref_net","mcpn_level","Preferred Networks","Preferred Network Level","char"
"dbo","cmc_mcpn_pref_net","nwnw_id","Preferred Networks","Network ID","char"
"dbo","cmc_mcpn_pref_net","nwpr_pfx","Preferred Networks","Network Relationship Prefix","char"
"dbo","cmc_mcpn_pref_net","mcpn_last_usus_id","Preferred Networks","Last Update User ID","char"
"dbo","cmc_mcpn_pref_net","mcpn_last_updt_dt","Preferred Networks","Last Update Date","datetime"
"dbo","cmc_mcpn_pref_net","mcpn_lock_token","Preferred Networks","Lock Token","smallint"
"dbo","cmc_mcpn_pref_net","atxr_source_id","Preferred Networks","Attachment Source Id","datetime"
"dbo","cmc_mcpn_pref_net","sys_last_upd_dtm","Preferred Networks","Last Update Datetime","datetime"
"dbo","cmc_mcpn_pref_net","sys_usus_id","Preferred Networks","Last Update User ID","varchar"
"dbo","cmc_mcpn_pref_net","sys_dbuser_id","Preferred Networks","Last Update DBMS User ID","varchar"
