"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mcrc_rslt_crit","pdbc_pfx","Results Criteria","Automatic Actions Criteria Benefit Component Prefix","char"
"dbo","cmc_mcrc_rslt_crit","mcrd_context","Results Criteria","Automatic Actions Criteria Context","char"
"dbo","cmc_mcrc_rslt_crit","mcrd_cat","Results Criteria","Automatic Actions Criteria Category","char"
"dbo","cmc_mcrc_rslt_crit","mcrd_result","Results Criteria","Automatic Actions Criteria Business Event (Result)","char"
"dbo","cmc_mcrc_rslt_crit","mcrd_cause","Results Criteria","Automatic Actions Criteria Method (Cause)","char"
"dbo","cmc_mcrc_rslt_crit","mcrd_seq_no","Results Criteria","Automatic Actions Criteria Event Sequence Number","smallint"
"dbo","cmc_mcrc_rslt_crit","mcrc_seq_no","Results Criteria","Automatic Actions Criteria Sequence Number","smallint"
"dbo","cmc_mcrc_rslt_crit","mcrc_inc_exc_cd","Results Criteria","Automatic Actions Criteria  Include/Exclude Indicator","char"
"dbo","cmc_mcrc_rslt_crit","mcrc_type","Results Criteria","Automatic Actions Criteria Include/Exclude Type","char"
"dbo","cmc_mcrc_rslt_crit","mcrc_val_ck1","Results Criteria","Automatic Actions Criteria Included/Excluded Contrived Key","int"
"dbo","cmc_mcrc_rslt_crit","mcrc_val_ck2","Results Criteria","Automatic Actions Criteria Included/Excluded Contrived Key","int"
"dbo","cmc_mcrc_rslt_crit","mcrc_value1","Results Criteria","Automatic Actions Criteria Included/Excluded Entity","char"
"dbo","cmc_mcrc_rslt_crit","mcrc_value2","Results Criteria","Automatic Actions Criteria Included/Excluded Entity","char"
"dbo","cmc_mcrc_rslt_crit","mcrc_to_value1","Results Criteria","Automatic Actions Criteria Included/Excluded Entity High Value 1","char"
"dbo","cmc_mcrc_rslt_crit","mcrc_to_value2","Results Criteria","Automatic Actions Criteria Included/Excluded Entity High Value 2","char"
"dbo","cmc_mcrc_rslt_crit","mcrc_rule1","Results Criteria","N/A","char"
"dbo","cmc_mcrc_rslt_crit","mcrc_rule2","Results Criteria","N/A","char"
"dbo","cmc_mcrc_rslt_crit","mcrc_rule3","Results Criteria","N/A","char"
"dbo","cmc_mcrc_rslt_crit","mcrc_rule4","Results Criteria","N/A","char"
"dbo","cmc_mcrc_rslt_crit","mctr_entity","Results Criteria","Automatic Actions Criteria Entity","char"
"dbo","cmc_mcrc_rslt_crit","mctr_type","Results Criteria","Automatic Actions Criteria User Defined Code","char"
"dbo","cmc_mcrc_rslt_crit","excd_id","Results Criteria","Automatic Actions Criteria Included/Excluded Explanation Code","char"
"dbo","cmc_mcrc_rslt_crit","mcrc_lock_token","Results Criteria","Lock Token","smallint"
"dbo","cmc_mcrc_rslt_crit","atxr_source_id","Results Criteria","Attachment Source Id","datetime"
