"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mcre_relat_ent","mcre_id","Related Entity Indicative Data","Related Entity Identifier","char"
"dbo","cmc_mcre_relat_ent","mcre_name","Related Entity Indicative Data","Related Entity Name","char"
"dbo","cmc_mcre_relat_ent","mcre_type","Related Entity Indicative Data","Related Entity Type","char"
"dbo","cmc_mcre_relat_ent","mcre_addr1","Related Entity Indicative Data","Related Entity Address Line 1","char"
"dbo","cmc_mcre_relat_ent","mcre_addr2","Related Entity Indicative Data","Related Entity Address Line 2","char"
"dbo","cmc_mcre_relat_ent","mcre_addr3","Related Entity Indicative Data","Related Entity Address Line 3","char"
"dbo","cmc_mcre_relat_ent","mcre_city","Related Entity Indicative Data","City","char"
"dbo","cmc_mcre_relat_ent","mcre_state","Related Entity Indicative Data","State","char"
"dbo","cmc_mcre_relat_ent","mcre_zip","Related Entity Indicative Data","Zip Code","char"
"dbo","cmc_mcre_relat_ent","mcre_county","Related Entity Indicative Data","County","char"
"dbo","cmc_mcre_relat_ent","mcre_ctry_cd","Related Entity Indicative Data","Country","char"
"dbo","cmc_mcre_relat_ent","mcre_phone","Related Entity Indicative Data","Related Entity Phone Number","char"
"dbo","cmc_mcre_relat_ent","mcre_phone_ext","Related Entity Indicative Data","Phone Extension","char"
"dbo","cmc_mcre_relat_ent","mcre_fax","Related Entity Indicative Data","Related Entity Fax Number","char"
"dbo","cmc_mcre_relat_ent","mcre_fax_ext","Related Entity Indicative Data","Fax Extension","char"
"dbo","cmc_mcre_relat_ent","mcre_email","Related Entity Indicative Data","Email","char"
"dbo","cmc_mcre_relat_ent","mcre_name_xlow","Related Entity Indicative Data","Name Case Insensitive Field","char"
"dbo","cmc_mcre_relat_ent","mcre_city_xlow","Related Entity Indicative Data","Case Insensitive Field","char"
"dbo","cmc_mcre_relat_ent","mcre_mctr_lang","Related Entity Indicative Data","Related Entity Language","char"
"dbo","cmc_mcre_relat_ent","mcre_extn_addr_ind","Related Entity Indicative Data","Related Entity external address indicator","char"
"dbo","cmc_mcre_relat_ent","mcre_mctr_code","Related Entity Indicative Data","Related Entity Code","char"
"dbo","cmc_mcre_relat_ent","mcre_desc","Related Entity Indicative Data","Related Entity Description","char"
"dbo","cmc_mcre_relat_ent","mcre_lock_token","Related Entity Indicative Data","Lock Token","smallint"
"dbo","cmc_mcre_relat_ent","atxr_source_id","Related Entity Indicative Data","Attachment Source Id","datetime"
"dbo","cmc_mcre_relat_ent","sys_last_upd_dtm","Related Entity Indicative Data","Last Update Datetime","datetime"
"dbo","cmc_mcre_relat_ent","sys_usus_id","Related Entity Indicative Data","Last Update User ID","varchar"
"dbo","cmc_mcre_relat_ent","sys_dbuser_id","Related Entity Indicative Data","Last Update DBMS User ID","varchar"
