"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mcrp_relat_per","mcrp_id","Responsible Person Data","Responsible Person Identifier","char"
"dbo","cmc_mcrp_relat_per","mcrp_last_name","Responsible Person Data","Responsible Person Last Name","char"
"dbo","cmc_mcrp_relat_per","mcrp_first_name","Responsible Person Data","Responsible Person First Name","char"
"dbo","cmc_mcrp_relat_per","mcrp_mid_init","Responsible Person Data","Responsible Person Middle Initial","char"
"dbo","cmc_mcrp_relat_per","mcrp_title","Responsible Person Data","Title","char"
"dbo","cmc_mcrp_relat_per","mcrp_addr1","Responsible Person Data","Address Line 1","char"
"dbo","cmc_mcrp_relat_per","mcrp_addr2","Responsible Person Data","Address Line 2","char"
"dbo","cmc_mcrp_relat_per","mcrp_addr3","Responsible Person Data","Address Line 3","char"
"dbo","cmc_mcrp_relat_per","mcrp_city","Responsible Person Data","City","char"
"dbo","cmc_mcrp_relat_per","mcrp_state","Responsible Person Data","State","char"
"dbo","cmc_mcrp_relat_per","mcrp_zip","Responsible Person Data","Zip Code","char"
"dbo","cmc_mcrp_relat_per","mcrp_county","Responsible Person Data","County","char"
"dbo","cmc_mcrp_relat_per","mcrp_ctry_cd","Responsible Person Data","Country","char"
"dbo","cmc_mcrp_relat_per","mcrp_phone","Responsible Person Data","Phone Number","char"
"dbo","cmc_mcrp_relat_per","mcrp_phone_ext","Responsible Person Data","Phone Extension","char"
"dbo","cmc_mcrp_relat_per","mcrp_fax","Responsible Person Data","Fax Number","char"
"dbo","cmc_mcrp_relat_per","mcrp_fax_ext","Responsible Person Data","Fax Extension","char"
"dbo","cmc_mcrp_relat_per","mcrp_email","Responsible Person Data","Email","char"
"dbo","cmc_mcrp_relat_per","mcrp_pin_no","Responsible Person Data","Personal Identification Number","char"
"dbo","cmc_mcrp_relat_per","mcrp_pin_word","Responsible Person Data","Personal Identification Word","char"
"dbo","cmc_mcrp_relat_per","mcrp_last_name_xlow","Responsible Person Data","Name search case insensitive","char"
"dbo","cmc_mcrp_relat_per","mcrp_city_xlow","Responsible Person Data","City search case insensitive","char"
"dbo","cmc_mcrp_relat_per","mcrp_mctr_lang","Responsible Person Data","Language indicator","char"
"dbo","cmc_mcrp_relat_per","mcrp_extn_addr_ind","Responsible Person Data","External address indicator","char"
"dbo","cmc_mcrp_relat_per","mcrp_lock_token","Responsible Person Data","Lock Token","smallint"
"dbo","cmc_mcrp_relat_per","atxr_source_id","Responsible Person Data","Attachment Source Id","datetime"
