"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mctn_tax_name","mctn_id","Tax Name","Tax ID","char"
"dbo","cmc_mctn_tax_name","mctn_type","Tax Name","Type","char"
"dbo","cmc_mctn_tax_name","mctn_name","Tax Name","Corporation Tax Name","char"
"dbo","cmc_mctn_tax_name","mctn_lst_name","Tax Name","Last Name","char"
"dbo","cmc_mctn_tax_name","mctn_first_name","Tax Name","First Name","char"
"dbo","cmc_mctn_tax_name","mctn_mid_init","Tax Name","Middle Initial","char"
"dbo","cmc_mctn_tax_name","mctn_title","Tax Name","Title","char"
"dbo","cmc_mctn_tax_name","mctn_status","Tax Name","Tax Reporting Status","char"
"dbo","cmc_mctn_tax_name","mctn_addr1","Tax Name","Address Line One","char"
"dbo","cmc_mctn_tax_name","mctn_addr2","Tax Name","Address Line two","char"
"dbo","cmc_mctn_tax_name","mctn_addr3","Tax Name","Address Line three","char"
"dbo","cmc_mctn_tax_name","mctn_city","Tax Name","City","char"
"dbo","cmc_mctn_tax_name","mctn_state","Tax Name","State","char"
"dbo","cmc_mctn_tax_name","mctn_zip","Tax Name","Zip Code","char"
"dbo","cmc_mctn_tax_name","mctn_county","Tax Name","County","char"
"dbo","cmc_mctn_tax_name","mctn_ctry_cd","Tax Name","Country","char"
"dbo","cmc_mctn_tax_name","mctn_phone","Tax Name","Phone Number","char"
"dbo","cmc_mctn_tax_name","mctn_phone_ext","Tax Name","Phone number extension","char"
"dbo","cmc_mctn_tax_name","mctn_fax","Tax Name","Fax Number","char"
"dbo","cmc_mctn_tax_name","mctn_fax_ext","Tax Name","Fax Number Extension","char"
"dbo","cmc_mctn_tax_name","mctn_email","Tax Name","Internet/Email","char"
"dbo","cmc_mctn_tax_name","mctn_lock_token","Tax Name","Lock Token","smallint"
"dbo","cmc_mctn_tax_name","atxr_source_id","Tax Name","Attachment Source Id","datetime"
