"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mctr_cd_trans","mctr_entity","User Defined Code Trans lations","User Defined Codes Entity","char"
"dbo","cmc_mctr_cd_trans","mctr_type","User Defined Code Trans lations","User Defined Code Type","char"
"dbo","cmc_mctr_cd_trans","mctr_value","User Defined Code Trans lations","User Defined Code","char"
"dbo","cmc_mctr_cd_trans","mctr_desc","User Defined Code Trans lations","User Defined Code Description","varchar"
"dbo","cmc_mctr_cd_trans","mctr_filter","User Defined Code Trans lations","User Defined Code Filter","char"
"dbo","cmc_mctr_cd_trans","mctr_value_size","User Defined Code Trans lations","User Defined Codes Value Size","smallint"
"dbo","cmc_mctr_cd_trans","mctr_sort","User Defined Code Trans lations","Sort","int"
"dbo","cmc_mctr_cd_trans","mctr_lock_token","User Defined Code Trans lations","Lock Token","smallint"
"dbo","cmc_mctr_cd_trans","atxr_source_id","User Defined Code Trans lations","Attachment Source Id","datetime"
"dbo","cmc_mctr_cd_trans","sys_last_upd_dtm","User Defined Code Trans lations","Last Update Datetime","datetime"
"dbo","cmc_mctr_cd_trans","sys_usus_id","User Defined Code Trans lations","Last Update User ID","varchar"
"dbo","cmc_mctr_cd_trans","sys_dbuser_id","User Defined Code Trans lations","Last Update DBMS User ID","varchar"
