"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_meac_accum","meme_ck","","Member Contrived Key","int"
"dbo","cmc_meac_accum","pdpd_acc_sfx","","Product Accumulator Suffix","char"
"dbo","cmc_meac_accum","meac_acc_type","","","char"
"dbo","cmc_meac_accum","acac_acc_no","","EOB Amount Accumulator Number","smallint"
"dbo","cmc_meac_accum","grgr_ck","","Group Address Line 1","int"
"dbo","cmc_meac_accum","meac_cur_year","","","datetime"
"dbo","cmc_meac_accum","meac_yr1_amt1","","","money"
"dbo","cmc_meac_accum","meac_yr1_amt2","","","money"
"dbo","cmc_meac_accum","meac_yr1_amt3","","","money"
"dbo","cmc_meac_accum","meac_yr2_amt1","","","money"
"dbo","cmc_meac_accum","meac_yr2_amt2","","","money"
"dbo","cmc_meac_accum","meac_yr2_amt3","","","money"
"dbo","cmc_meac_accum","meac_yr3_amt1","","","money"
"dbo","cmc_meac_accum","meac_yr3_amt2","","","money"
"dbo","cmc_meac_accum","meac_yr3_amt3","","","money"
"dbo","cmc_meac_accum","meac_lock_token","","Lock Token","smallint"
"dbo","cmc_meac_accum","meac_lst_clcl_id_nvl","","","char"
"dbo","cmc_meac_accum","meac_mctr_rsn_nvl","","","char"
"dbo","cmc_meac_accum","syin_inst","","System Instance","int"
