"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_medx_cond_elig","meme_ck","Member Diag- nosis Link to Conditional Eligibility","Member Contrived Key","int"
"dbo","cmc_medx_cond_elig","cspd_cat","Member Diag- nosis Link to Conditional Eligibility","Class Product Category","char"
"dbo","cmc_medx_cond_elig","cspi_id","Member Diag- nosis Link to Conditional Eligibility","Class Plan Identifier","char"
"dbo","cmc_medx_cond_elig","idcd_id_rel","Member Diag- nosis Link to Conditional Eligibility","Diagnosis Code","varchar"
"dbo","cmc_medx_cond_elig","idcd_type","Member Diag- nosis Link to Conditional Eligibility","ICD Version","char"
"dbo","cmc_medx_cond_elig","medx_eff_dt","Member Diag- nosis Link to Conditional Eligibility","Conditional Eligibility  Effective Date","datetime"
"dbo","cmc_medx_cond_elig","medx_term_dt","Member Diag- nosis Link to Conditional Eligibility","Conditional Eligibility Termination Date","datetime"
"dbo","cmc_medx_cond_elig","medx_mctr_trsn","Member Diag- nosis Link to Conditional Eligibility","Conditional Eligibility Termination Reason","char"
"dbo","cmc_medx_cond_elig","grgr_ck","Member Diag- nosis Link to Conditional Eligibility","Group Contrived Key","int"
"dbo","cmc_medx_cond_elig","medx_proc_ind","Member Diag- nosis Link to Conditional Eligibility","Conditional Eligibility Processing Indicator","char"
"dbo","cmc_medx_cond_elig","excd_id","Member Diag- nosis Link to Conditional Eligibility","Explanation Code","char"
"dbo","cmc_medx_cond_elig","medx_lock_token","Member Diag- nosis Link to Conditional Eligibility","Lock Token","smallint"
"dbo","cmc_medx_cond_elig","atxr_source_id","Member Diag- nosis Link to Conditional Eligibility","Attachment Source Id","datetime"
