"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_meec_ex_crit","meme_ck","Member Exception Criteria","Member Contrived Key","int"
"dbo","cmc_meec_ex_crit","meet_excp_type","Member Exception Criteria","Exception Type","char"
"dbo","cmc_meec_ex_crit","cspd_cat","Member Exception Criteria","Category","char"
"dbo","cmc_meec_ex_crit","meet_eff_dt","Member Exception Criteria","Effective Date","datetime"
"dbo","cmc_meec_ex_crit","meec_criteria","Member Exception Criteria","Exception Criteria","char"
"dbo","cmc_meec_ex_crit","meec_crit_low","Member Exception Criteria","Criteria Value Low","varchar"
"dbo","cmc_meec_ex_crit","meec_crit_high","Member Exception Criteria","Criteria Value High","varchar"
"dbo","cmc_meec_ex_crit","atxr_source_id","Member Exception Criteria","Attachment Source Id","datetime"
"dbo","cmc_meec_ex_crit","meec_lock_token","Member Exception Criteria","Lock Token","smallint"
"dbo","cmc_meec_ex_crit","sys_last_upd_dtm","Member Exception Criteria","Last Update Datetime","datetime"
"dbo","cmc_meec_ex_crit","sys_usus_id","Member Exception Criteria","Last Update User ID","varchar"
"dbo","cmc_meec_ex_crit","sys_dbuser_id","Member Exception Criteria","Last Update DBMS User ID","varchar"
