"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_meft_fctr","meme_ck","Member Program Capitation Factors","Member Contrived Key","int"
"dbo","cmc_meft_fctr","crfa_attr_id","Member Program Capitation Factors","Attribute ID","varchar"
"dbo","cmc_meft_fctr","meft_eff_dt","Member Program Capitation Factors","Effective Date","datetime"
"dbo","cmc_meft_fctr","meft_term_dt","Member Program Capitation Factors","Termination Date","datetime"
"dbo","cmc_meft_fctr","crav_value","Member Program Capitation Factors","Factor Value","varchar"
"dbo","cmc_meft_fctr","meft_lock_token","Member Program Capitation Factors","Lock Token","smallint"
"dbo","cmc_meft_fctr","atxr_source_id","Member Program Capitation Factors","Attachment Source Id","datetime"
"dbo","cmc_meft_fctr","sys_last_upd_dtm","Member Program Capitation Factors","Last Update Datetime","datetime"
"dbo","cmc_meft_fctr","sys_usus_id","Member Program Capitation Factors","Last Update User ID","varchar"
"dbo","cmc_meft_fctr","sys_dbuser_id","Member Program Capitation Factors","Last Update DBMS User ID","varchar"
