"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_mewm_me_msg","meme_ck","Member Level Warning Messages","Member Contrived Key","int"
"dbo","cmc_mewm_me_msg","mewm_eff_dt","Member Level Warning Messages","Effective Date","datetime"
"dbo","cmc_mewm_me_msg","wmds_seq_no","Member Level Warning Messages","User Message","smallint"
"dbo","cmc_mewm_me_msg","mewm_term_dt","Member Level Warning Messages","Termination Date","datetime"
"dbo","cmc_mewm_me_msg","mewm_mctr_trsn","Member Level Warning Messages","Termination Reason","char"
"dbo","cmc_mewm_me_msg","grgr_ck","Member Level Warning Messages","Group Contrived Key","int"
"dbo","cmc_mewm_me_msg","mewm_lock_token","Member Level Warning Messages","Lock Token","smallint"
"dbo","cmc_mewm_me_msg","atxr_source_id","Member Level Warning Messages","Attachment Source Id","datetime"
"dbo","cmc_mewm_me_msg","sys_last_upd_dtm","Member Level Warning Messages","Last Update Datetime","datetime"
"dbo","cmc_mewm_me_msg","sys_usus_id","Member Level Warning Messages","Last Update User ID","varchar"
"dbo","cmc_mewm_me_msg","sys_dbuser_id","Member Level Warning Messages","Last Update DBMS User ID","varchar"
