"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_nwcc_gcom_rel","nwgx_id","Common Global Relationship","Common Global Capitation Relationship ID","char"
"dbo","cmc_nwcc_gcom_rel","nwnw_id","Common Global Relationship","Network ID","char"
"dbo","cmc_nwcc_gcom_rel","nwcr_pfx","Common Global Relationship","Global Capitation Relationship Prefix","char"
"dbo","cmc_nwcc_gcom_rel","nwcc_eff_dt","Common Global Relationship","Effective Date","datetime"
"dbo","cmc_nwcc_gcom_rel","nwcc_term_dt","Common Global Relationship","Termination Date","datetime"
"dbo","cmc_nwcc_gcom_rel","nwcc_mctr_trsn","Common Global Relationship","NWCC Drop Down","char"
"dbo","cmc_nwcc_gcom_rel","crfs_schd_id","Common Global Relationship","Capitation Schedule ID","char"
"dbo","cmc_nwcc_gcom_rel","crpl_pool_id","Common Global Relationship","Pool ID","char"
"dbo","cmc_nwcc_gcom_rel","agag_id","Common Global Relationship","Secondary Agreement ID","char"
"dbo","cmc_nwcc_gcom_rel","nwcc_adj_per","Common Global Relationship","Adjustment Period","smallint"
"dbo","cmc_nwcc_gcom_rel","nwcc_cap_ret_mos","Common Global Relationship","Retro Months","smallint"
"dbo","cmc_nwcc_gcom_rel","nwcc_lock_token","Common Global Relationship","Lock Token","smallint"
"dbo","cmc_nwcc_gcom_rel","sys_last_upd_dtm","Common Global Relationship","Last Update Datetime","datetime"
"dbo","cmc_nwcc_gcom_rel","sys_usus_id","Common Global Relationship","Last Update User ID","varchar"
"dbo","cmc_nwcc_gcom_rel","sys_dbuser_id","Common Global Relationship","Last Update DBMS User ID","varchar"
