"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_nwcr_relation","nwnw_id","Network Capitation Relationship","Network ID","char"
"dbo","cmc_nwcr_relation","nwcr_pfx","Network Capitation Relationship","NWCR Prefix","char"
"dbo","cmc_nwcr_relation","nwcr_cr_pr_id","Network Capitation Relationship","Capitated Provider","char"
"dbo","cmc_nwcr_relation","nwcr_eff_dt","Network Capitation Relationship","Effective Date","datetime"
"dbo","cmc_nwcr_relation","nwcr_term_dt","Network Capitation Relationship","Termination Date","datetime"
"dbo","cmc_nwcr_relation","nwcr_mctr_trsn","Network Capitation Relationship","Termination Reason","char"
"dbo","cmc_nwcr_relation","crfs_schd_id","Network Capitation Relationship","Capitation Schedule ID","char"
"dbo","cmc_nwcr_relation","crpl_pool_id","Network Capitation Relationship","Capitation Pool ID","char"
"dbo","cmc_nwcr_relation","agag_id","Network Capitation Relationship","Agreement ID","char"
"dbo","cmc_nwcr_relation","nwcr_adj_per","Network Capitation Relationship","Retroactive Adjustment Period","smallint"
"dbo","cmc_nwcr_relation","nwcr_cap_ret_mos","Network Capitation Relationship","Retro Months","smallint"
"dbo","cmc_nwcr_relation","nwcr_lock_token","Network Capitation Relationship","Lock Token","smallint"
"dbo","cmc_nwcr_relation","atxr_source_id","Network Capitation Relationship","Attachment Source Id","datetime"
"dbo","cmc_nwcr_relation","sys_last_upd_dtm","Network Capitation Relationship","Last Update Datetime","datetime"
"dbo","cmc_nwcr_relation","sys_usus_id","Network Capitation Relationship","Last Update User ID","varchar"
"dbo","cmc_nwcr_relation","sys_dbuser_id","Network Capitation Relationship","Last Update DBMS User ID","varchar"
