"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_pbna_net_lvl_addl_data","pbcf_type","Product Benefit Summary Configuration Network Level Additional Data","Benefit Summary Configuration Type","varchar"
"dbo","cmc_pbna_net_lvl_addl_data","pbcn_type","Product Benefit Summary Configuration Network Level Additional Data","Benefit Summary View Type","varchar"
"dbo","cmc_pbna_net_lvl_addl_data","pbrl_eff_dt","Product Benefit Summary Configuration Network Level Additional Data","Benefit Summary Configuration Effective Date","datetime"
"dbo","cmc_pbna_net_lvl_addl_data","pdpd_id","Product Benefit Summary Configuration Network Level Additional Data","Product ID","char"
"dbo","cmc_pbna_net_lvl_addl_data","pbnd_type","Product Benefit Summary Configuration Network Level Additional Data","Benefit Summary Network Level Type","varchar"
"dbo","cmc_pbna_net_lvl_addl_data","pbnt_seq_no","Product Benefit Summary Configuration Network Level Additional Data","Benefit Summary Network Level Map Sequence Number","smallint"
"dbo","cmc_pbna_net_lvl_addl_data","pbna_seq_no","Product Benefit Summary Configuration Network Level Additional Data","Benefit Summary Network Level Map Additional Sequence Number","smallint"
"dbo","cmc_pbna_net_lvl_addl_data","system_row_id_src","Product Benefit Summary Configuration Network Level Additional Data","Row Identifier","numeric"
"dbo","cmc_pbna_net_lvl_addl_data","sys_row_id_src","Product Benefit Summary Configuration Network Level Additional Data","Benefit Summary Source Component Map ID","varchar"
"dbo","cmc_pbna_net_lvl_addl_data","system_row_id_pbcd","Product Benefit Summary Configuration Network Level Additional Data","Row Identifier from PBCD table","numeric"
"dbo","cmc_pbna_net_lvl_addl_data","sys_row_id_pbcd","Product Benefit Summary Configuration Network Level Additional Data","Benefit Summary Table Column Definition Map ID","varchar"
"dbo","cmc_pbna_net_lvl_addl_data","pbna_lock_token","Product Benefit Summary Configuration Network Level Additional Data","Lock Token","smallint"
"dbo","cmc_pbna_net_lvl_addl_data","sys_last_upd_dtm","Product Benefit Summary Configuration Network Level Additional Data","Last Update Datetime","datetime"
"dbo","cmc_pbna_net_lvl_addl_data","sys_usus_id","Product Benefit Summary Configuration Network Level Additional Data","Last Update User ID","varchar"
"dbo","cmc_pbna_net_lvl_addl_data","sys_dbuser_id","Product Benefit Summary Configuration Network Level Additional Data","Last Update DBMS User ID","varchar"
"dbo","cmc_pbna_net_lvl_addl_data","system_row_id","Product Benefit Summary Configuration Network Level Additional Data","Row Identifier","numeric"
