"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_pcac_prc_crit","pdbc_pfx","Processing Control Agent Criteria Table","Processing Control Agent Benefit Component Prefix","char"
"dbo","cmc_pcac_prc_crit","pcag_app","Processing Control Agent Criteria Table","Processing Control Agent Application","char"
"dbo","cmc_pcac_prc_crit","pcag_action","Processing Control Agent Criteria Table","Processing Control Agent Action","char"
"dbo","cmc_pcac_prc_crit","pcag_seq_no","Processing Control Agent Criteria Table","Processing Control Agent Sequence Number","smallint"
"dbo","cmc_pcac_prc_crit","pcac_group","Processing Control Agent Criteria Table","Processing Control Agent Criteria Group","char"
"dbo","cmc_pcac_prc_crit","pcac_seq_no","Processing Control Agent Criteria Table","Processing Control Agent Criteria Number","smallint"
"dbo","cmc_pcac_prc_crit","pcac_field","Processing Control Agent Criteria Table","Processing Control Agent Criteria Definition","varchar"
"dbo","cmc_pcac_prc_crit","pcac_data_type","Processing Control Agent Criteria Table","Processing Control Agent Criteria Definition Data Type","char"
"dbo","cmc_pcac_prc_crit","pcac_func","Processing Control Agent Criteria Table","Processing Control Agent Function","char"
"dbo","cmc_pcac_prc_crit","pcac_value1","Processing Control Agent Criteria Table","Processing Control Agent Criteria Value 1","char"
"dbo","cmc_pcac_prc_crit","pcac_value2","Processing Control Agent Criteria Table","Processing Control Agent Criteria Value 2","char"
"dbo","cmc_pcac_prc_crit","pcac_lock_token","Processing Control Agent Criteria Table","Lock Token","smallint"
"dbo","cmc_pcac_prc_crit","atxr_source_id","Processing Control Agent Criteria Table","Attachment Source Id","datetime"
