"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_pcag_prc_act","pdbc_pfx","Processing Control Agent Actions Table","Processing Control Agent Benefit Component Prefix","char"
"dbo","cmc_pcag_prc_act","pcag_app","Processing Control Agent Actions Table","Processing Control Agent Application","char"
"dbo","cmc_pcag_prc_act","pcag_action","Processing Control Agent Actions Table","Processing Control Agent Action","char"
"dbo","cmc_pcag_prc_act","pcag_seq_no","Processing Control Agent Actions Table","Processing Control Agent Sequence Number","smallint"
"dbo","cmc_pcag_prc_act","pcag_desc","Processing Control Agent Actions Table","Processing Control Agent Sequence Number Description","char"
"dbo","cmc_pcag_prc_act","atsy_id","Processing Control Agent Actions Table","Processing Control Agent Letter Style ID","char"
"dbo","cmc_pcag_prc_act","atlt_id","Processing Control Agent Actions Table","Processing Control Agent Letter ID","varchar"
"dbo","cmc_pcag_prc_act","pcag_mctr_reas","Processing Control Agent Actions Table","Processing Control Agent Pend Reason","char"
"dbo","cmc_pcag_prc_act","pcag_route_user","Processing Control Agent Actions Table","Processing Control Agent Pend Reason","char"
"dbo","cmc_pcag_prc_act","excd_id","Processing Control Agent Actions Table","Processing Control Agent Explanation Code","char"
"dbo","cmc_pcag_prc_act","pcag_pend_notify","Processing Control Agent Actions Table","Processing Control Agent Pend Notification Indicator","char"
"dbo","cmc_pcag_prc_act","wmds_seq_no","Processing Control Agent Actions Table","Processing Control Agent User Warning Message","smallint"
"dbo","cmc_pcag_prc_act","pcag_lock_token","Processing Control Agent Actions Table","Lock Token","smallint"
"dbo","cmc_pcag_prc_act","atxr_source_id","Processing Control Agent Actions Table","Attachment Source Id","datetime"
