"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_pdds_prod_desc","pdpd_id","Product Descriptive Data Table","Product ID","char"
"dbo","cmc_pdds_prod_desc","pdds_desc","Product Descriptive Data Table","Product Description","varchar"
"dbo","cmc_pdds_prod_desc","pdds_um_ind","Product Descriptive Data Table","Utilization Management Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_med_price_ind","Product Descriptive Data Table","Medical Pre-Pricing Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_med_clms_ind","Product Descriptive Data Table","Medical Claims Processing Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_den_um_ind","Product Descriptive Data Table","Dental Referrals Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_den_pd_ind","Product Descriptive Data Table","Dental Pre-determinations Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_den_price_ind","Product Descriptive Data Table","Dental Pre-Pricing Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_den_clms_ind","Product Descriptive Data Table","Dental Claims Processing Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_prem_ind","Product Descriptive Data Table","Premium Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_cled_ind","Product Descriptive Data Table","Clinical Edits Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_cap_ind","Product Descriptive Data Table","Capitation Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_int_state_ind","Product Descriptive Data Table","State Specific Claim Interest Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_mctr_bcat","Product Descriptive Data Table","Product Business Category","char"
"dbo","cmc_pdds_prod_desc","pdds_mctr_val1","Product Descriptive Data Table","Product Value Code 1","char"
"dbo","cmc_pdds_prod_desc","pdds_mctr_val2","Product Descriptive Data Table","Product Value Code 2","char"
"dbo","cmc_pdds_prod_desc","pdds_app_type","Product Descriptive Data Table","Application Type","char"
"dbo","cmc_pdds_prod_desc","pdds_prod_type","Product Descriptive Data Table","Product Type","char"
"dbo","cmc_pdds_prod_desc","pdds_dofr_ind","Product Descriptive Data Table","DOFR Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_optout_ind","Product Descriptive Data Table","POS Optout Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_ooa_ind","Product Descriptive Data Table","Out of Area Submission Acceptance Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_oon_ind","Product Descriptive Data Table","Provider Out of Network Submission Acceptance Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_disp_ind","Product Descriptive Data Table","Dispensing Model Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_alt_disp_ind","Product Descriptive Data Table","Alternate Dispensing Model Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_ord_sys_ind","Product Descriptive Data Table","Order System Enablement Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_lock_token","Product Descriptive Data Table","Lock Token","smallint"
"dbo","cmc_pdds_prod_desc","atxr_source_id","Product Descriptive Data Table","Attachment Source Id","datetime"
"dbo","cmc_pdds_prod_desc","sys_last_upd_dtm","Product Descriptive Data Table","Last Update Datetime","datetime"
"dbo","cmc_pdds_prod_desc","sys_usus_id","Product Descriptive Data Table","Last Update User ID","varchar"
"dbo","cmc_pdds_prod_desc","sys_dbuser_id","Product Descriptive Data Table","Last Update DBMS User ID","varchar"
"dbo","cmc_pdds_prod_desc","pdds_encounter_ind_nvl","Product Descriptive Data Table","Encounters Indicator","char"
"dbo","cmc_pdds_prod_desc","pdds_tpa_ind_nvl","Product Descriptive Data Table","TPA Indicator","char"
