"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_pdvl_prod_vol","pdvl_pfx","Volume Based Product Rules and Amounts Table","Volume Calculation Benefit Component Prefix","char"
"dbo","cmc_pdvl_prod_vol","pdvl_eff_dt","Volume Based Product Rules and Amounts Table","Volume Calculation Effective Date","datetime"
"dbo","cmc_pdvl_prod_vol","pdvl_desc","Volume Based Product Rules and Amounts Table","Volume Calculation Description","char"
"dbo","cmc_pdvl_prod_vol","pdvl_term_dt","Volume Based Product Rules and Amounts Table","Volume Calculation Termination Date","datetime"
"dbo","cmc_pdvl_prod_vol","pdvl_calc_meth","Volume Based Product Rules and Amounts Table","Volume Calculation Method","char"
"dbo","cmc_pdvl_prod_vol","pdvl_value","Volume Based Product Rules and Amounts Table","Value","money"
"dbo","cmc_pdvl_prod_vol","pdvl_vol_fctr","Volume Based Product Rules and Amounts Table","Volume factor","int"
"dbo","cmc_pdvl_prod_vol","pmvl_ref_dtm","Volume Based Product Rules and Amounts Table","Layered Salary Volume Table Reference ID","datetime"
"dbo","cmc_pdvl_prod_vol","pdvl_vol_basis","Volume Based Product Rules and Amounts Table","Volume Basis","char"
"dbo","cmc_pdvl_prod_vol","pdvl_round_meth","Volume Based Product Rules and Amounts Table","Rounding Method","char"
"dbo","cmc_pdvl_prod_vol","pdvl_round_val","Volume Based Product Rules and Amounts Table","Rounding Value","money"
"dbo","cmc_pdvl_prod_vol","pdvl_min_vol","Volume Based Product Rules and Amounts Table","Minimum Volume","money"
"dbo","cmc_pdvl_prod_vol","pdvl_max_vol","Volume Based Product Rules and Amounts Table","Maximum Volume","money"
"dbo","cmc_pdvl_prod_vol","pdvl_ar_vs_min_ind","Volume Based Product Rules and Amounts Table","Age Reduction Vs Minimum Indicator","char"
"dbo","cmc_pdvl_prod_vol","pdvl_ar_round_ind","Volume Based Product Rules and Amounts Table","Age Reduction Rounding Inidicator","char"
"dbo","cmc_pdvl_prod_vol","pmcs_ref_dtm","Volume Based Product Rules and Amounts Table","Child Schedule Volume Table Reference ID","datetime"
"dbo","cmc_pdvl_prod_vol","pdvl_lock_token","Volume Based Product Rules and Amounts Table","Lock Token","smallint"
"dbo","cmc_pdvl_prod_vol","atxr_source_id","Volume Based Product Rules and Amounts Table","Attachment Source Id","datetime"
