"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_pmdd_dlnq_def","pmdd_pfx","Delinquency Processing Criteria Table","Delinquency Definition Prefix","char"
"dbo","cmc_pmdd_dlnq_def","pmdd_seq_no","Delinquency Processing Criteria Table","Delinquency Definition Sequence Number","smallint"
"dbo","cmc_pmdd_dlnq_def","atld_id","Delinquency Processing Criteria Table","Delinquency Letter Attachment ID","varchar"
"dbo","cmc_pmdd_dlnq_def","pmdd_meth","Delinquency Processing Criteria Table","Delinquency Genertaion Method","char"
"dbo","cmc_pmdd_dlnq_def","pmdd_val","Delinquency Processing Criteria Table","Generation Value","smallint"
"dbo","cmc_pmdd_dlnq_def","pmdd_type","Delinquency Processing Criteria Table","Delinquency Definition Type","char"
"dbo","cmc_pmdd_dlnq_def","blmd_id","Delinquency Processing Criteria Table","Message ID","char"
"dbo","cmc_pmdd_dlnq_def","pmdd_auto_term_ind","Delinquency Processing Criteria Table","Automatic Termination Indicator","char"
"dbo","cmc_pmdd_dlnq_def","pmdd_lock_token","Delinquency Processing Criteria Table","Lock Token","smallint"
"dbo","cmc_pmdd_dlnq_def","atxr_source_id","Delinquency Processing Criteria Table","Attachment Source Id","datetime"
