"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_pmtr_trend","pmtr_pfx","Rate/Premium Factor Application by Month Table","Trend Factor Prefix","char"
"dbo","cmc_pmtr_trend","pmtr_modifier","Rate/Premium Factor Application by Month Table","Trend Rate Modifier","char"
"dbo","cmc_pmtr_trend","pmtr_eff_dt","Rate/Premium Factor Application by Month Table","Effective Date","datetime"
"dbo","cmc_pmtr_trend","pmtr_term_dt","Rate/Premium Factor Application by Month Table","Termination Date","datetime"
"dbo","cmc_pmtr_trend","pmtr_jan_fctr","Rate/Premium Factor Application by Month Table","January Trend Rate Factor","int"
"dbo","cmc_pmtr_trend","pmtr_feb_fctr","Rate/Premium Factor Application by Month Table","February Trend Rate Factor","int"
"dbo","cmc_pmtr_trend","pmtr_mar_fctr","Rate/Premium Factor Application by Month Table","March Trend Rate Factor","int"
"dbo","cmc_pmtr_trend","pmtr_apr_fctr","Rate/Premium Factor Application by Month Table","April Trend Rate Factor","int"
"dbo","cmc_pmtr_trend","pmtr_may_fctr","Rate/Premium Factor Application by Month Table","May Trend Rate Factor","int"
"dbo","cmc_pmtr_trend","pmtr_jun_fctr","Rate/Premium Factor Application by Month Table","June Trend Rate Factor","int"
"dbo","cmc_pmtr_trend","pmtr_jul_fctr","Rate/Premium Factor Application by Month Table","July Trend Rate Factor","int"
"dbo","cmc_pmtr_trend","pmtr_aug_fctr","Rate/Premium Factor Application by Month Table","August Trend Rate Factor","int"
"dbo","cmc_pmtr_trend","pmtr_sep_fctr","Rate/Premium Factor Application by Month Table","September Trend Rate Factor","int"
"dbo","cmc_pmtr_trend","pmtr_oct_fctr","Rate/Premium Factor Application by Month Table","October Trend Rate Factor","int"
"dbo","cmc_pmtr_trend","pmtr_nov_fctr","Rate/Premium Factor Application by Month Table","November Trend Rate Factor","int"
"dbo","cmc_pmtr_trend","pmtr_dec_fctr","Rate/Premium Factor Application by Month Table","December Trend Rate Factor","int"
"dbo","cmc_pmtr_trend","pmtr_lock_token","Rate/Premium Factor Application by Month Table","Lock Token","smallint"
"dbo","cmc_pmtr_trend","atxr_source_id","Rate/Premium Factor Application by Month Table","Attachment Source Id","datetime"
