"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_prad_address","prad_id","Provider Address Information by Address Type","Provider Address ID","char"
"dbo","cmc_prad_address","prad_type","Provider Address Information by Address Type","Provider Address Type","char"
"dbo","cmc_prad_address","prad_eff_dt","Provider Address Information by Address Type","Provider Address (Type) Effective Date","datetime"
"dbo","cmc_prad_address","prad_term_dt","Provider Address Information by Address Type","Provider Address (Type) Termination Date","datetime"
"dbo","cmc_prad_address","prad_addr1","Provider Address Information by Address Type","Provider Address (Type) Line 1","char"
"dbo","cmc_prad_address","prad_addr2","Provider Address Information by Address Type","Provider Address (Type) Line 2","char"
"dbo","cmc_prad_address","prad_addr3","Provider Address Information by Address Type","Provider Address (Type) Line 3","char"
"dbo","cmc_prad_address","prad_city","Provider Address Information by Address Type","Provider Address (Type) City","char"
"dbo","cmc_prad_address","prad_state","Provider Address Information by Address Type","Provider Address (Type) State","char"
"dbo","cmc_prad_address","prad_zip","Provider Address Information by Address Type","Provider Address (Type) Zip Code","char"
"dbo","cmc_prad_address","prad_county","Provider Address Information by Address Type","Provider Address (Type) County","char"
"dbo","cmc_prad_address","prad_ctry_cd","Provider Address Information by Address Type","Provider Address (Type) Country","char"
"dbo","cmc_prad_address","prad_phone","Provider Address Information by Address Type","Provider Address (Type) Phone Number","char"
"dbo","cmc_prad_address","prad_phone_ext","Provider Address Information by Address Type","Provider Address (Type) Phone Extension Number","char"
"dbo","cmc_prad_address","prad_fax","Provider Address Information by Address Type","Provider Address (Type) Fax Number","char"
"dbo","cmc_prad_address","prad_fax_ext","Provider Address Information by Address Type","Provider Address (Type) Fax Number Extension","char"
"dbo","cmc_prad_address","prad_email","Provider Address Information by Address Type","Provider Address (Type) Email","char"
"dbo","cmc_prad_address","prad_hd_ind","Provider Address Information by Address Type","Provider Address (Type) Handicap Access Indicator","char"
"dbo","cmc_prad_address","prad_practice_ind","Provider Address Information by Address Type","Provider Address (Type) Practice Indicator","char"
"dbo","cmc_prad_address","prad_city_xlow","Provider Address Information by Address Type","Provider Address (Type) City Case Insensitivity Field","char"
"dbo","cmc_prad_address","prad_type_mail","Provider Address Information by Address Type","Provider Address (Type) Corresponding Mailing Address","char"
"dbo","cmc_prad_address","prad_mctr_trsn","Provider Address Information by Address Type","Provider Address (Type) Termination Reason","char"
"dbo","cmc_prad_address","prad_directory_ind","Provider Address Information by Address Type","Provider Address (Type) Directory Indicator","char"
"dbo","cmc_prad_address","prad_long","Provider Address Information by Address Type","Provider Address Longitude","int"
"dbo","cmc_prad_address","prad_lat","Provider Address Information by Address Type","Provider Address Latitude","int"
"dbo","cmc_prad_address","prad_geo_rtrn_cd","Provider Address Information by Address Type","Provider Address Geo Access Return Code","char"
"dbo","cmc_prad_address","prad_lock_token","Provider Address Information by Address Type","Lock Token","smallint"
"dbo","cmc_prad_address","atxr_source_id","Provider Address Information by Address Type","Attachment Source Id","datetime"
"dbo","cmc_prad_address","sys_last_upd_dtm","Provider Address Information by Address Type","Last Update Datetime","datetime"
"dbo","cmc_prad_address","sys_usus_id","Provider Address Information by Address Type","Last Update User ID","varchar"
"dbo","cmc_prad_address","sys_dbuser_id","Provider Address Information by Address Type","Last Update DBMS User ID","varchar"
"dbo","cmc_prad_address","prad_mel_rtrn_cd_nvl","Provider Address Information by Address Type","Provider Address Melissa Data Return Code","varchar"
