"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_pram_misc","prpr_id","Provider Address Miscellaneous Data Table","Provider ID","char"
"dbo","cmc_pram_misc","prad_id","Provider Address Miscellaneous Data Table","Address ID","char"
"dbo","cmc_pram_misc","prad_type","Provider Address Miscellaneous Data Table","Provider Address Type","char"
"dbo","cmc_pram_misc","prad_eff_dt","Provider Address Miscellaneous Data Table","Provider Address Effective Date","datetime"
"dbo","cmc_pram_misc","pram_mem_pct","Provider Address Miscellaneous Data Table","Membership Percentage","money"
"dbo","cmc_pram_misc","pram_emr_ind","Provider Address Miscellaneous Data Table","Electronic Medical Records Indicator","char"
"dbo","cmc_pram_misc","pram_epres_ind","Provider Address Miscellaneous Data Table","E-Prescribing Indicator","char"
"dbo","cmc_pram_misc","pram_mctr_val","Provider Address Miscellaneous Data Table","Location Value Code","char"
"dbo","cmc_pram_misc","pram_lock_token","Provider Address Miscellaneous Data Table","Lock Token","smallint"
"dbo","cmc_pram_misc","atxr_source_id","Provider Address Miscellaneous Data Table","Attachment Source Id","datetime"
"dbo","cmc_pram_misc","sys_last_upd_dtm","Provider Address Miscellaneous Data Table","Last Update Datetime","datetime"
"dbo","cmc_pram_misc","sys_usus_id","Provider Address Miscellaneous Data Table","Last Update User ID","varchar"
"dbo","cmc_pram_misc","sys_dbuser_id","Provider Address Miscellaneous Data Table","Last Update DBMS User ID","char"
