"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_prcr_creden","prcr_id","Provider Global Credentialing Information","Credentialing ID","char"
"dbo","cmc_prcr_creden","prcr_init_cred_dt","Provider Global Credentialing Information","Initial Credential Date","datetime"
"dbo","cmc_prcr_creden","prcr_last_cred_dt","Provider Global Credentialing Information","Last Credential Date","datetime"
"dbo","cmc_prcr_creden","prcr_next_cred_dt","Provider Global Credentialing Information","Next Credential Date","datetime"
"dbo","cmc_prcr_creden","prcr_cred_type","Provider Global Credentialing Information","Delegated Credential Field","char"
"dbo","cmc_prcr_creden","mcre_id","Provider Global Credentialing Information","Credentialing Firm","char"
"dbo","cmc_prcr_creden","prcr_mctr_reso","Provider Global Credentialing Information","Referral Source","char"
"dbo","cmc_prcr_creden","prcr_refer_dt","Provider Global Credentialing Information","Referral Date","datetime"
"dbo","cmc_prcr_creden","prcr_lock_token","Provider Global Credentialing Information","Lock Token","smallint"
"dbo","cmc_prcr_creden","atxr_source_id","Provider Global Credentialing Information","Attachment Source Id","datetime"
