"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_prpg_prog","prpg_id","Provider Program Table","Provider Program ID","char"
"dbo","cmc_prpg_prog","prpg_eff_dt","Provider Program Table","Provider Program Effective Date","datetime"
"dbo","cmc_prpg_prog","prpg_name","Provider Program Table","Provider Program Name","varchar"
"dbo","cmc_prpg_prog","prpg_term_dt","Provider Program Table","Provider Program Termination Date","datetime"
"dbo","cmc_prpg_prog","prpg_mctr_trsn","Provider Program Table","Provider Program Termination Reason","char"
"dbo","cmc_prpg_prog","prpg_mctr_type","Provider Program Table","Provider Program Type","char"
"dbo","cmc_prpg_prog","prpg_lock_token","Provider Program Table","Lock Token","smallint"
"dbo","cmc_prpg_prog","atxr_source_id","Provider Program Table","Attachment Source Id","datetime"
"dbo","cmc_prpg_prog","sys_last_upd_dtm","Provider Program Table","Last Update Datetime","datetime"
"dbo","cmc_prpg_prog","sys_usus_id","Provider Program Table","Last Update User ID","varchar"
"dbo","cmc_prpg_prog","sys_dbuser_id","Provider Program Table","Last Update DBMS User ID","varchar"
