"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_prqa_qa","prcr_id","Provider Quality Assurance Information","Credentialing ID","char"
"dbo","cmc_prqa_qa","prqa_mctr_type","Provider Quality Assurance Information","Provider Quality Assurance Type","char"
"dbo","cmc_prqa_qa","prqa_mctr_item","Provider Quality Assurance Information","Provider Quality Assurance Item","char"
"dbo","cmc_prqa_qa","prqa_last_ver_dt","Provider Quality Assurance Information","Provider Quality Assurance Last Date Verification Requested","datetime"
"dbo","cmc_prqa_qa","prqa_init_ver_dt","Provider Quality Assurance Information","Provider Quality Assurance Initial Date Verification Request","datetime"
"dbo","cmc_prqa_qa","prqa_next_ver_dt","Provider Quality Assurance Information","Provider Quality Assurance Next Date Verification Requested","datetime"
"dbo","cmc_prqa_qa","prqa_rcvd_ver_dt","Provider Quality Assurance Information","Provider Quality Assurance Date Verification Received","datetime"
"dbo","cmc_prqa_qa","prqa_mctr_vsrc","Provider Quality Assurance Information","Provider Quality Assurance Monitor Verification Source","char"
"dbo","cmc_prqa_qa","prqa_prim_ver_ind","Provider Quality Assurance Information","Provider Quality Assurance Verification Indicator","char"
"dbo","cmc_prqa_qa","prqa_mctr_vrsl","Provider Quality Assurance Information","Provider Quality Assurance Verification Result","char"
"dbo","cmc_prqa_qa","prqa_last_ver_name","Provider Quality Assurance Information","Provider Quality Assurance Verified By","char"
"dbo","cmc_prqa_qa","prqa_mctr_vmth","Provider Quality Assurance Information","Provider Quality Assurance Primary Verification Method","char"
"dbo","cmc_prqa_qa","prqa_comment","Provider Quality Assurance Information","Provider Quality Assurance Comments","char"
"dbo","cmc_prqa_qa","prqa_lock_token","Provider Quality Assurance Information","Lock Token","smallint"
"dbo","cmc_prqa_qa","atxr_source_id","Provider Quality Assurance Information","Attachment Source Id","datetime"
