"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_prre_relation","prcr_id","Provider/Managed Care Related Entity Relationship Information","Credentialing ID","char"
"dbo","cmc_prre_relation","prre_mctr_type","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Type","char"
"dbo","cmc_prre_relation","mcre_id","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Related Entity Identifier","char"
"dbo","cmc_prre_relation","prre_eff_dt","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Effective Date","datetime"
"dbo","cmc_prre_relation","prre_term_dt","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Termination Date","datetime"
"dbo","cmc_prre_relation","prre_mctr_trsn","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Termination Reason","char"
"dbo","cmc_prre_relation","prre_last_ver_dt","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Last Verification Date","datetime"
"dbo","cmc_prre_relation","prre_init_ver_dt","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Initial Verification Date","datetime"
"dbo","cmc_prre_relation","prre_next_ver_dt","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Next Verification Request","datetime"
"dbo","cmc_prre_relation","prre_rcvd_ver_dt","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Verification Received Date","datetime"
"dbo","cmc_prre_relation","prre_mctr_vsrc","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Verification Source","char"
"dbo","cmc_prre_relation","prre_prim_ver_ind","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Primary Verification Indicator","char"
"dbo","cmc_prre_relation","prre_mctr_vrsl","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Source Results","char"
"dbo","cmc_prre_relation","prre_last_ver_name","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Verification Name","char"
"dbo","cmc_prre_relation","prre_mctr_vmth","Provider/Managed Care Related Entity Relationship Information","Provider Relationship Verification Method","char"
"dbo","cmc_prre_relation","prre_lock_token","Provider/Managed Care Related Entity Relationship Information","Lock Token","smallint"
"dbo","cmc_prre_relation","atxr_source_id","Provider/Managed Care Related Entity Relationship Information","Attachment Source Id","datetime"
