"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_prwm_pr_msg","prpr_id","Provider User Warning Message Table","Provider ID","char"
"dbo","cmc_prwm_pr_msg","prwm_eff_dt","Provider User Warning Message Table","Effective Date","datetime"
"dbo","cmc_prwm_pr_msg","wmds_seq_no","Provider User Warning Message Table","User Warning Message","smallint"
"dbo","cmc_prwm_pr_msg","prwm_term_dt","Provider User Warning Message Table","Termination Date","datetime"
"dbo","cmc_prwm_pr_msg","prwm_mctr_trsn","Provider User Warning Message Table","Termination Reason","char"
"dbo","cmc_prwm_pr_msg","prwm_lock_token","Provider User Warning Message Table","Lock Token","smallint"
"dbo","cmc_prwm_pr_msg","atxr_source_id","Provider User Warning Message Table","Attachment Source Id","datetime"
"dbo","cmc_prwm_pr_msg","sys_last_upd_dtm","Provider User Warning Message Table","Last Update Datetime","datetime"
"dbo","cmc_prwm_pr_msg","sys_usus_id","Provider User Warning Message Table","Last Update User ID","varchar"
"dbo","cmc_prwm_pr_msg","sys_dbuser_id","Provider User Warning Message Table","Last Update DBMS User ID","varchar"
