"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_pscd_pos_desc","pscd_id","Place of Service Description Table","Place of Service Code","char"
"dbo","cmc_pscd_pos_desc","pscd_desc","Place of Service Description Table","Place of Service Description","char"
"dbo","cmc_pscd_pos_desc","pscd_pos_ind","Place of Service Description Table","Normative Place of Service Indicator","char"
"dbo","cmc_pscd_pos_desc","tpct_mctr_tcat","Place of Service Description Table","Service Conversion Category","char"
"dbo","cmc_pscd_pos_desc","tpct_mctr_setg","Place of Service Description Table","Place of Service Setting","char"
"dbo","cmc_pscd_pos_desc","pscd_lock_token","Place of Service Description Table","Lock Token","smallint"
"dbo","cmc_pscd_pos_desc","atxr_source_id","Place of Service Description Table","Attachment Source Id","datetime"
"dbo","cmc_pscd_pos_desc","sys_last_upd_dtm","Place of Service Description Table","Last Update Datetime","datetime"
"dbo","cmc_pscd_pos_desc","sys_usus_id","Place of Service Description Table","Last Update User ID","varchar"
"dbo","cmc_pscd_pos_desc","sys_dbuser_id","Place of Service Description Table","Last Update DBMS User ID","varchar"
