"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_qwkr_restart","qwk0_row_id","Multi Engine Work Restart Queue Table","Row Identifier","int"
"dbo","cmc_qwkr_restart","qwkr_seq_no","Multi Engine Work Restart Queue Table","","int"
"dbo","cmc_qwkr_restart","pzpz_id","Multi Engine Work Restart Queue Table","Product ID","char"
"dbo","cmc_qwkr_restart","pzap_app_id","Multi Engine Work Restart Queue Table","Application ID","char"
"dbo","cmc_qwkr_restart","qwkr_create_dtm","Multi Engine Work Restart Queue Table","Create Date","datetime"
"dbo","cmc_qwkr_restart","qwkr_string_value1","Multi Engine Work Restart Queue Table","","varchar"
"dbo","cmc_qwkr_restart","qwkr_string_value2","Multi Engine Work Restart Queue Table","","varchar"
"dbo","cmc_qwkr_restart","qwkr_string_value3","Multi Engine Work Restart Queue Table","","varchar"
"dbo","cmc_qwkr_restart","qwkr_string_value4","Multi Engine Work Restart Queue Table","","varchar"
"dbo","cmc_qwkr_restart","qwkr_string_value5","Multi Engine Work Restart Queue Table","","varchar"
"dbo","cmc_qwkr_restart","qwkr_string_value6","Multi Engine Work Restart Queue Table","","varchar"
"dbo","cmc_qwkr_restart","qwkr_string_value7","Multi Engine Work Restart Queue Table","","varchar"
"dbo","cmc_qwkr_restart","qwkr_string_value8","Multi Engine Work Restart Queue Table","","varchar"
"dbo","cmc_qwkr_restart","qwkr_string_value9","Multi Engine Work Restart Queue Table","","varchar"
"dbo","cmc_qwkr_restart","qwkr_string_value0","Multi Engine Work Restart Queue Table","","varchar"
"dbo","cmc_qwkr_restart","qwkr_int_value1","Multi Engine Work Restart Queue Table","","int"
"dbo","cmc_qwkr_restart","qwkr_int_value2","Multi Engine Work Restart Queue Table","","int"
"dbo","cmc_qwkr_restart","qwkr_int_value3","Multi Engine Work Restart Queue Table","","int"
"dbo","cmc_qwkr_restart","qwkr_int_value4","Multi Engine Work Restart Queue Table","","int"
"dbo","cmc_qwkr_restart","qwkr_int_value5","Multi Engine Work Restart Queue Table","","int"
"dbo","cmc_qwkr_restart","qwkr_lock_token","Multi Engine Work Restart Queue Table","Lock Token","smallint"
