"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_sbdc_debt_card","sbsb_ck","Subscriber Debit Card","Subscriber Contrived Key","int"
"dbo","cmc_sbdc_debt_card","sbdc_acct_type","Subscriber Debit Card","Type","char"
"dbo","cmc_sbdc_debt_card","sbdc_eff_dt","Subscriber Debit Card","Effective","datetime"
"dbo","cmc_sbdc_debt_card","sbdc_term_dt","Subscriber Debit Card","Termination","datetime"
"dbo","cmc_sbdc_debt_card","sbdc_mctr_trsn","Subscriber Debit Card","Termination Reason","char"
"dbo","cmc_sbdc_debt_card","grgr_ck","Subscriber Debit Card","Group Contrived Key","int"
"dbo","cmc_sbdc_debt_card","sbdc_sts","Subscriber Debit Card","Status","char"
"dbo","cmc_sbdc_debt_card","cspi_id","Subscriber Debit Card","Plan ID","char"
"dbo","cmc_sbdc_debt_card","grdc_pfx","Subscriber Debit Card","Debit Card/Bank Prefix","char"
"dbo","cmc_sbdc_debt_card","sbdc_card_no","Subscriber Debit Card","Card Number","varchar"
"dbo","cmc_sbdc_debt_card","sbdc_card_alt_no","Subscriber Debit Card","Alternate Debit Card Number","varchar"
"dbo","cmc_sbdc_debt_card","sbdc_addl_data","Subscriber Debit Card","Additional Data","varchar"
"dbo","cmc_sbdc_debt_card","sbdc_last_upd_dtm","Subscriber Debit Card","Last Update Date and Time","datetime"
"dbo","cmc_sbdc_debt_card","sbdc_lst_usus_id","Subscriber Debit Card","Last Update User ID","char"
"dbo","cmc_sbdc_debt_card","sbdc_cdh_elig_dtm","Subscriber Debit Card","CDH Eligibility Date","datetime"
"dbo","cmc_sbdc_debt_card","sbdc_term_srce_cd","Subscriber Debit Card","Debit Card Termination Source","char"
"dbo","cmc_sbdc_debt_card","sbdc_lock_token","Subscriber Debit Card","Lock Token","smallint"
"dbo","cmc_sbdc_debt_card","atxr_source_id","Subscriber Debit Card","Attachment Source Id","datetime"
