"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_sbft_fsa_cntrb","sbsb_ck","FSA Contribution transaction table","Subscriber Contrived Key","int"
"dbo","cmc_sbft_fsa_cntrb","sbfs_plan_year_dt","FSA Contribution transaction table","Plan Year","datetime"
"dbo","cmc_sbft_fsa_cntrb","sbfs_fsa_type","FSA Contribution transaction table","FSA Type","char"
"dbo","cmc_sbft_fsa_cntrb","sbft_txn_dt","FSA Contribution transaction table","Contribution Date","datetime"
"dbo","cmc_sbft_fsa_cntrb","sbft_seq_no","FSA Contribution transaction table","Sequence Number","smallint"
"dbo","cmc_sbft_fsa_cntrb","grgr_ck","FSA Contribution transaction table","Group Contrived Key","int"
"dbo","cmc_sbft_fsa_cntrb","sbft_process_dtm","FSA Contribution transaction table","N/A","datetime"
"dbo","cmc_sbft_fsa_cntrb","sbft_input_source","FSA Contribution transaction table","Input Source","char"
"dbo","cmc_sbft_fsa_cntrb","sbft_ee_cntrb_amt","FSA Contribution transaction table","EE Contribution Amount","money"
"dbo","cmc_sbft_fsa_cntrb","sbft_er_cntrb_amt","FSA Contribution transaction table","Employer Contribution Amount","money"
"dbo","cmc_sbft_fsa_cntrb","sbft_mctr_crsn","FSA Contribution transaction table","Contribution Reason","char"
"dbo","cmc_sbft_fsa_cntrb","sbft_lock_token","FSA Contribution transaction table","Lock Token","smallint"
"dbo","cmc_sbft_fsa_cntrb","atxr_source_id","FSA Contribution transaction table","Attachment Source Id","datetime"
