"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_sbhs_hsa_accum","sbsb_ck","Subscriber HSA Accumulation","Subscriber Contrived Key","int"
"dbo","cmc_sbhs_hsa_accum","hsai_acc_sfx","Subscriber HSA Accumulation","HRA Administrative Information Accumulator Suffix","char"
"dbo","cmc_sbhs_hsa_accum","sbhs_plan_yr_dt","Subscriber HSA Accumulation","HRA Plan Year Date","datetime"
"dbo","cmc_sbhs_hsa_accum","sbhs_eff_dt","Subscriber HSA Accumulation","Effective Date","datetime"
"dbo","cmc_sbhs_hsa_accum","sbhs_term_dt","Subscriber HSA Accumulation","Termination Date","datetime"
"dbo","cmc_sbhs_hsa_accum","grgr_ck","Subscriber HSA Accumulation","Group Contrived Key","int"
"dbo","cmc_sbhs_hsa_accum","sbhs_ded_amt","Subscriber HSA Accumulation","HRA Family Deductible Amount","money"
"dbo","cmc_sbhs_hsa_accum","sbhs_ded_accum_amt","Subscriber HSA Accumulation","HRA Family Deductible Accumulator","money"
"dbo","cmc_sbhs_hsa_accum","sbhs_alloc_amt","Subscriber HSA Accumulation","HRA Family Allocation Amount","money"
"dbo","cmc_sbhs_hsa_accum","sbhs_co_amt","Subscriber HSA Accumulation","HRA Family Carryover Amount","money"
"dbo","cmc_sbhs_hsa_accum","sbhs_paid_amt","Subscriber HSA Accumulation","HRA Family Plan Year Credits","money"
"dbo","cmc_sbhs_hsa_accum","sbhs_balance_amt","Subscriber HSA Accumulation","HRA Family Plan Year Balance Available","money"
"dbo","cmc_sbhs_hsa_accum","hsal_co_calc_ind","Subscriber HSA Accumulation","HRA Allocation Table Carryover Calculation Method","char"
"dbo","cmc_sbhs_hsa_accum","hsal_co_pct","Subscriber HSA Accumulation","Carryover Percent","money"
"dbo","cmc_sbhs_hsa_accum","hsal_me_alloc_ind","Subscriber HSA Accumulation","Member Level Allocation","char"
"dbo","cmc_sbhs_hsa_accum","sbhs_max_co_amt","Subscriber HSA Accumulation","HRA Family Carryover Limit","money"
"dbo","cmc_sbhs_hsa_accum","sbhs_me_ded_amt","Subscriber HSA Accumulation","HRA Member Deductible Amount","money"
"dbo","cmc_sbhs_hsa_accum","sbhs_me_alloc_amt","Subscriber HSA Accumulation","HRA Member Allocation Amount","money"
"dbo","cmc_sbhs_hsa_accum","sbhs_me_max_co_amt","Subscriber HSA Accumulation","HRA Member Carryover Limit","money"
"dbo","cmc_sbhs_hsa_accum","sbhs_hra_card_amt","Subscriber HSA Accumulation","HRA Card Amount","money"
"dbo","cmc_sbhs_hsa_accum","sbhs_pay_hold_ind","Subscriber HSA Accumulation","Pay Hold Indicator","char"
"dbo","cmc_sbhs_hsa_accum","sbhs_ded_ind","Subscriber HSA Accumulation","Deductible Indicator","char"
"dbo","cmc_sbhs_hsa_accum","sbhs_ded2_ind","Subscriber HSA Accumulation","Deductible Two Indicator","char"
"dbo","cmc_sbhs_hsa_accum","sbhs_ded2_amt","Subscriber HSA Accumulation","Deductible Two Amount","money"
"dbo","cmc_sbhs_hsa_accum","sbhs_ded2_accm_amt","Subscriber HSA Accumulation","Deductible Two Accum Amount","money"
"dbo","cmc_sbhs_hsa_accum","sbhs_me_ded2_amt","Subscriber HSA Accumulation","Member Deductible Two Amount","money"
"dbo","cmc_sbhs_hsa_accum","sbhs_paid_cur","Subscriber HSA Accumulation","HRA Paid Current","money"
"dbo","cmc_sbhs_hsa_accum","sbhs_card_cur","Subscriber HSA Accumulation","HRA Debit Current Period","money"
"dbo","cmc_sbhs_hsa_accum","sbhs_pyc_ind","Subscriber HSA Accumulation","Prior Year Carryover Period","char"
"dbo","cmc_sbhs_hsa_accum","sbhs_submit_ind","Subscriber HSA Accumulation","HRA Submit Method","char"
"dbo","cmc_sbhs_hsa_accum","sbhs_vbb_credit","Subscriber HSA Accumulation","Value Based Benefit HRA credit","money"
"dbo","cmc_sbhs_hsa_accum","sbhs_lock_token","Subscriber HSA Accumulation","Lock Token","smallint"
"dbo","cmc_sbhs_hsa_accum","atxr_source_id","Subscriber HSA Accumulation","Attachment Source Id","datetime"
