"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_sbim_import","grgr_ck","Subscriber ID Import Table","Group Contrived Key","int"
"dbo","cmc_sbim_import","sbsb_ck","Subscriber ID Import Table","Subscriber Contrived Key","int"
"dbo","cmc_sbim_import","sbim_file_name","Subscriber ID Import Table","N/A","varchar"
"dbo","cmc_sbim_import","sbim_rec_no","Subscriber ID Import Table","N/A","int"
"dbo","cmc_sbim_import","sbim_input_grgr_id","Subscriber ID Import Table","N/A","char"
"dbo","cmc_sbim_import","sbim_input_sbsb_id","Subscriber ID Import Table","N/A","char"
"dbo","cmc_sbim_import","sbsb_id_new","Subscriber ID Import Table","N/A","char"
"dbo","cmc_sbim_import","sbxi_extnl_sbsb_id","Subscriber ID Import Table","N/A","varchar"
"dbo","cmc_sbim_import","sbim_err_cd","Subscriber ID Import Table","N/A","char"
"dbo","cmc_sbim_import","sbim_lock_token","Subscriber ID Import Table","Lock Token","smallint"
