"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_sesp_penalty","sese_id","Service Penalties Table","Type of Service","char"
"dbo","cmc_sesp_penalty","sese_rule","Service Penalties Table","Type of Service Rule","char"
"dbo","cmc_sesp_penalty","sesp_pen_ind","Service Penalties Table","Penalty Type","char"
"dbo","cmc_sesp_penalty","sesp_pen_calc_ind","Service Penalties Table","Penalty Calculation Indicator","char"
"dbo","cmc_sesp_penalty","sesp_pen_amt","Service Penalties Table","Service Penalty Amount","money"
"dbo","cmc_sesp_penalty","sesp_pen_pct","Service Penalties Table","Service Penalty Percent","money"
"dbo","cmc_sesp_penalty","sesp_pen_max_amt","Service Penalties Table","Maximum Penalty Amount","money"
"dbo","cmc_sesp_penalty","excd_id","Service Penalties Table","Penalty Explanation Code","char"
"dbo","cmc_sesp_penalty","serl_rel_id","Service Penalties Table","Related Services ID","char"
"dbo","cmc_sesp_penalty","sesp_opts","Service Penalties Table","Service Penalty Options","char"
"dbo","cmc_sesp_penalty","sesp_lock_token","Service Penalties Table","Lock Token","smallint"
"dbo","cmc_sesp_penalty","atxr_source_id","Service Penalties Table","Attachment Source Id","datetime"
