"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_sgrt_rate_data","sgsg_ck","Subgroup Rate Factoring Data","Subgroup Contrived Key","int"
"dbo","cmc_sgrt_rate_data","sgrt_eff_dt","Subgroup Rate Factoring Data","Effective Date","datetime"
"dbo","cmc_sgrt_rate_data","sgrt_term_dt","Subgroup Rate Factoring Data","Termination Date","datetime"
"dbo","cmc_sgrt_rate_data","sgrt_rt_st","Subgroup Rate Factoring Data","Rating State","char"
"dbo","cmc_sgrt_rate_data","sgrt_rt_cnty","Subgroup Rate Factoring Data","Rating County","char"
"dbo","cmc_sgrt_rate_data","sgrt_rt_area","Subgroup Rate Factoring Data","Rating Area","char"
"dbo","cmc_sgrt_rate_data","sgrt_sic","Subgroup Rate Factoring Data","Standard Industry Class./No. Amer. Indust. Class. Sys. (SIC/NAICS)","char"
"dbo","cmc_sgrt_rate_data","sgrt_lock_token","Subgroup Rate Factoring Data","Lock Token","smallint"
"dbo","cmc_sgrt_rate_data","atxr_source_id","Subgroup Rate Factoring Data","Attachment Source Id","datetime"
"dbo","cmc_sgrt_rate_data","sys_last_upd_dtm","Subgroup Rate Factoring Data","Last Update Datetime","datetime"
"dbo","cmc_sgrt_rate_data","sys_usus_id","Subgroup Rate Factoring Data","Last Update User ID","varchar"
"dbo","cmc_sgrt_rate_data","sys_dbuser_id","Subgroup Rate Factoring Data","Last Update DBMS User ID","varchar"
