"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_srpr_ri_prepro","srpr_row_id","","Row Identifier","numeric"
"dbo","cmc_srpr_ri_prepro","grgr_ck","","Group Address Line 1","int"
"dbo","cmc_srpr_ri_prepro","sbsb_ck_low","","Subscriber Contrived Key Low Value","int"
"dbo","cmc_srpr_ri_prepro","sbsb_ck_high","","Subscriber Contrived Key High Value","int"
"dbo","cmc_srpr_ri_prepro","srpr_weight","","Weight","int"
"dbo","cmc_srpr_ri_prepro","srpr_sts","","Status","int"
"dbo","cmc_srpr_ri_prepro","srpr_lock_token","","Lock Token","smallint"
"dbo","cmc_srpr_ri_prepro","atxr_source_id","","Attachment Source Id","datetime"
"dbo","cmc_srpr_ri_prepro","sys_last_upd_dtm","","Last Update Datetime","datetime"
"dbo","cmc_srpr_ri_prepro","sys_usus_id","","Last Update User ID","varchar"
"dbo","cmc_srpr_ri_prepro","sys_dbuser_id","","Last Update DBMS User ID","varchar"
