"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_svgr_svc_group","svgr_id","Service Groupings","Service Grouping","char"
"dbo","cmc_svgr_svc_group","svgr_tag","Service Groupings","Service Grouping Tag","varchar"
"dbo","cmc_svgr_svc_group","svgr_desc","Service Groupings","Description","varchar"
"dbo","cmc_svgr_svc_group","svgr_level","Service Groupings","Level","smallint"
"dbo","cmc_svgr_svc_group","sgla_id","Service Groupings","Service Grouping Classification","char"
"dbo","cmc_svgr_svc_group","svgr_lock_token","Service Groupings","Lock Token","smallint"
"dbo","cmc_svgr_svc_group","atxr_source_id","Service Groupings","Attachment Source Id","datetime"
"dbo","cmc_svgr_svc_group","sys_last_upd_dtm","Service Groupings","Last Update Datetime","datetime"
"dbo","cmc_svgr_svc_group","sys_usus_id","Service Groupings","Last Update User ID","varchar"
"dbo","cmc_svgr_svc_group","sys_dbuser_id","Service Groupings","Last Update DBMS User ID","varchar"
