"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_svru_svgr_rule","svgr_id","Service Grouping Rule Definition","Service Grouping","char"
"dbo","cmc_svru_svgr_rule","svru_rule","Service Grouping Rule Definition","Service Grouping Rule","char"
"dbo","cmc_svru_svgr_rule","svru_desc","Service Grouping Rule Definition","Service Grouping Rule Description","varchar"
"dbo","cmc_svru_svgr_rule","svru_min_age","Service Grouping Rule Definition","Minimum Age","smallint"
"dbo","cmc_svru_svgr_rule","svru_max_age","Service Grouping Rule Definition","Maximum Age","smallint"
"dbo","cmc_svru_svgr_rule","svru_age_excd_id","Service Grouping Rule Definition","Age Disallow Explanation","char"
"dbo","cmc_svru_svgr_rule","svru_cov_type","Service Grouping Rule Definition","Covered Members","char"
"dbo","cmc_svru_svgr_rule","svru_cov_excd_id","Service Grouping Rule Definition","Covered Members Explanation","char"
"dbo","cmc_svru_svgr_rule","svru_rule_type","Service Grouping Rule Definition","Rule Type","char"
"dbo","cmc_svru_svgr_rule","svru_calc_ind","Service Grouping Rule Definition","Calculation Method","char"
"dbo","cmc_svru_svgr_rule","wmds_seq_no","Service Grouping Rule Definition","User Warning Message","smallint"
"dbo","cmc_svru_svgr_rule","svru_dis_excd_id","Service Grouping Rule Definition","Disallow Explanation Code","char"
"dbo","cmc_svru_svgr_rule","svru_zero_chg_ind","Service Grouping Rule Definition","Zero Charge Acceptance Indicator","char"
"dbo","cmc_svru_svgr_rule","svru_lock_token","Service Grouping Rule Definition","Lock Token","smallint"
"dbo","cmc_svru_svgr_rule","atxr_source_id","Service Grouping Rule Definition","Attachment Source Id","datetime"
"dbo","cmc_svru_svgr_rule","sys_last_upd_dtm","Service Grouping Rule Definition","Last Update Datetime","datetime"
"dbo","cmc_svru_svgr_rule","sys_usus_id","Service Grouping Rule Definition","Last Update User ID","varchar"
"dbo","cmc_svru_svgr_rule","sys_dbuser_id","Service Grouping Rule Definition","Last Update DBMS User ID","varchar"
