"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_svzp_zip_area","svar_id","Service Area Zip Codes Table","Provider In Area Zip Codes ID","char"
"dbo","cmc_svzp_zip_area","mccy_ctry_cd","Service Area Zip Codes Table","Country Code","char"
"dbo","cmc_svzp_zip_area","gzcd_zip","Service Area Zip Codes Table","Zip Code","varchar"
"dbo","cmc_svzp_zip_area","gzcd_zip_plus_low","Service Area Zip Codes Table","Zip +4 Low","char"
"dbo","cmc_svzp_zip_area","svzp_eff_dt","Service Area Zip Codes Table","Effective Date","datetime"
"dbo","cmc_svzp_zip_area","svzp_term_dt","Service Area Zip Codes Table","Termination Date","datetime"
"dbo","cmc_svzp_zip_area","gzcd_zip_plus_high","Service Area Zip Codes Table","Zip +4 High","char"
"dbo","cmc_svzp_zip_area","svzp_lock_token","Service Area Zip Codes Table","Lock Token","smallint"
"dbo","cmc_svzp_zip_area","atxr_source_id","Service Area Zip Codes Table","Attachment Source Id","datetime"
"dbo","cmc_svzp_zip_area","sys_last_upd_dtm","Service Area Zip Codes Table","Last Update Datetime","datetime"
"dbo","cmc_svzp_zip_area","sys_usus_id","Service Area Zip Codes Table","Last Update User ID","varchar"
"dbo","cmc_svzp_zip_area","sys_dbuser_id","Service Area Zip Codes Table","Last Update DBMS User ID","varchar"
