"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_temp_prcd_capac_dtl","grgr_ck","Temp Capacity Detail Table","Group Address Line 1","int"
"dbo","cmc_temp_prcd_capac_dtl","cspd_cat","Temp Capacity Detail Table","Product Category","char"
"dbo","cmc_temp_prcd_capac_dtl","nwst_pfx","Temp Capacity Detail Table","Network Set Prefix","char"
"dbo","cmc_temp_prcd_capac_dtl","prpr_id","Temp Capacity Detail Table","Servicing Provider","char"
"dbo","cmc_temp_prcd_capac_dtl","nwst_seq_no","Temp Capacity Detail Table","Network Set Sequence Number","smallint"
"dbo","cmc_temp_prcd_capac_dtl","nwnw_id","Temp Capacity Detail Table","Provider Network Identifier","char"
"dbo","cmc_temp_prcd_capac_dtl","nwpr_pfx","Temp Capacity Detail Table","Network Provider Relationship Prefix","char"
"dbo","cmc_temp_prcd_capac_dtl","prcd_mem_ctr","Temp Capacity Detail Table","","int"
"dbo","cmc_temp_prcd_capac_dtl","nwst_lock_token","Temp Capacity Detail Table","Lock Token","smallint"
"dbo","cmc_temp_prcd_capac_dtl","atxr_source_id","Temp Capacity Detail Table","Attachment Source Id","datetime"
