"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_umnd_nm_data","umum_ref_id","UM Non-member Additional Data table","UM Reference ID","char"
"dbo","cmc_umnd_nm_data","umnd_seq_no","UM Non-member Additional Data table","UMND Sequence Number","smallint"
"dbo","cmc_umnd_nm_data","meme_ck","UM Non-member Additional Data table","Member Contrived Key","int"
"dbo","cmc_umnd_nm_data","pzap_app_id","UM Non-member Additional Data table","Application ID","char"
"dbo","cmc_umnd_nm_data","mcpd_source","UM Non-member Additional Data table","UMND's Source ID","char"
"dbo","cmc_umnd_nm_data","mcpd_column","UM Non-member Additional Data table","UMND's Column name or token","varchar"
"dbo","cmc_umnd_nm_data","umnd_data","UM Non-member Additional Data table","UMND's Value","varchar"
"dbo","cmc_umnd_nm_data","umnd_last_upd_dtm","UM Non-member Additional Data table","Last Update Date Time","datetime"
"dbo","cmc_umnd_nm_data","umnd_last_upd_usid","UM Non-member Additional Data table","Last Update User ID","char"
"dbo","cmc_umnd_nm_data","umnd_lock_token","UM Non-member Additional Data table","Lock Token","smallint"
"dbo","cmc_umnd_nm_data","atxr_source_id","UM Non-member Additional Data table","Attachment Source Id","datetime"
