"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_utip_med_util","pdbc_pfx","Medical Utilization Edits by Procedure Table","Medical Utilization Edits by Procedure Prefix","char"
"dbo","cmc_utip_med_util","ipcd_id","Medical Utilization Edits by Procedure Table","Medical Utilization Edits by Procedure Service ID","char"
"dbo","cmc_utip_med_util","utip_seq_no","Medical Utilization Edits by Procedure Table","Medical Utilization Edits by Procedure Sequence Number","smallint"
"dbo","cmc_utip_med_util","utip_period","Medical Utilization Edits by Procedure Table","Medical Utilization Edits by Procedure Period Amount","smallint"
"dbo","cmc_utip_med_util","utip_per_ind","Medical Utilization Edits by Procedure Table","Medical Utilization Edits by Procedure Period Indicator","char"
"dbo","cmc_utip_med_util","utip_per_type","Medical Utilization Edits by Procedure Table","Medical Utilization Edits by Procedure Period Type","char"
"dbo","cmc_utip_med_util","utip_idcd_rel_ind","Medical Utilization Edits by Procedure Table","Medical Utilization Edits by Procedure Related Diagnosis Indicator","char"
"dbo","cmc_utip_med_util","utip_prpr_id_ind","Medical Utilization Edits by Procedure Table","Medical Utilization Edits by Procedure Provider Match Indicator","char"
"dbo","cmc_utip_med_util","utip_adm_dt_ind","Medical Utilization Edits by Procedure Table","Medical Utilization Edits by Procedure Admit Date Indicator","char"
"dbo","cmc_utip_med_util","utip_action_ind","Medical Utilization Edits by Procedure Table","Medical Utilization Edits by Procedure Action","char"
"dbo","cmc_utip_med_util","excd_id","Medical Utilization Edits by Procedure Table","Medical Utilization Edits by Procedure Explanation Code","char"
"dbo","cmc_utip_med_util","utip_lock_token","Medical Utilization Edits by Procedure Table","Lock Token","smallint"
"dbo","cmc_utip_med_util","atxr_source_id","Medical Utilization Edits by Procedure Table","Attachment Source Id","datetime"
"dbo","cmc_utip_med_util","utip_zero_allw_ind_nvl","Medical Utilization Edits by Procedure Table","Medical Utilization Edit by Procedure Zero Allowable Indicator","char"
"dbo","cmc_utip_med_util","wmds_seq_no_nvl","Medical Utilization Edits by Procedure Table","Medical Utilization Edits by Procedure Warning Message Sequence Number","smallint"
