"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_vsal_agg_lmt","vsal_id","Service Groupings Aggregate Limit","Disqualifying Service Groupings ID","char"
"dbo","cmc_vsal_agg_lmt","vsal_desc","Service Groupings Aggregate Limit","Disqualifying Service Groupings ID Description","varchar"
"dbo","cmc_vsal_agg_lmt","vsal_period","Service Groupings Aggregate Limit","Quantity of the Limit Period unit (IND)","smallint"
"dbo","cmc_vsal_agg_lmt","vsal_rel_per_ind","Service Groupings Aggregate Limit","Period Indicator","char"
"dbo","cmc_vsal_agg_lmt","vsal_rel_type","Service Groupings Aggregate Limit","Period Type","char"
"dbo","cmc_vsal_agg_lmt","vsal_amount","Service Groupings Aggregate Limit","Amount Limit","money"
"dbo","cmc_vsal_agg_lmt","vsal_count","Service Groupings Aggregate Limit","Count Limit","smallint"
"dbo","cmc_vsal_agg_lmt","vsal_occur","Service Groupings Aggregate Limit","Occurrence Limit","smallint"
"dbo","cmc_vsal_agg_lmt","vsal_prod_ind","Service Groupings Aggregate Limit","Independent of Product Indicator","char"
"dbo","cmc_vsal_agg_lmt","vsal_dis_excd_id","Service Groupings Aggregate Limit","Disallow Explanation Code","char"
"dbo","cmc_vsal_agg_lmt","vsal_lock_token","Service Groupings Aggregate Limit","Lock Token","smallint"
"dbo","cmc_vsal_agg_lmt","atxr_source_id","Service Groupings Aggregate Limit","Attachment Source Id","datetime"
"dbo","cmc_vsal_agg_lmt","sys_last_upd_dtm","Service Groupings Aggregate Limit","Last Update Datetime","datetime"
"dbo","cmc_vsal_agg_lmt","sys_usus_id","Service Groupings Aggregate Limit","Last Update User ID","varchar"
"dbo","cmc_vsal_agg_lmt","sys_dbuser_id","Service Groupings Aggregate Limit","Last Update DBMS User ID","varchar"
