"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_vsdc_disq_cat","pdbc_pfx","Disqualifying Service Groupings ID","Service Grouping Limits Prefix","char"
"dbo","cmc_vsdc_disq_cat","svgr_id","Disqualifying Service Groupings ID","Disqualifying  Service Grouping Identifier","char"
"dbo","cmc_vsdc_disq_cat","vcfl_network_ind","Disqualifying Service Groupings ID","Network Indicator of Disqualifying Service Grouping","char"
"dbo","cmc_vsdc_disq_cat","vsdc_svgr_id","Disqualifying Service Groupings ID","Disqualified Service Grouping ID","char"
"dbo","cmc_vsdc_disq_cat","vsdc_network_ind","Disqualifying Service Groupings ID","Network Indicator of Disqualified Service Grouping","char"
"dbo","cmc_vsdc_disq_cat","vsdc_cc_period","Disqualifying Service Groupings ID","Quantity of the Limit Period unit (IND)","smallint"
"dbo","cmc_vsdc_disq_cat","vsdc_cc_per_ind","Disqualifying Service Groupings ID","Period Indicator","char"
"dbo","cmc_vsdc_disq_cat","sgla_id","Disqualifying Service Groupings ID","Classification Identifier","char"
"dbo","cmc_vsdc_disq_cat","vsdc_sgla_cnt","Disqualifying Service Groupings ID","Classification Count Display","char"
"dbo","cmc_vsdc_disq_cat","vsdc_lock_token","Disqualifying Service Groupings ID","Lock Token","smallint"
"dbo","cmc_vsdc_disq_cat","atxr_source_id","Disqualifying Service Groupings ID","Attachment Source Id","datetime"
"dbo","cmc_vsdc_disq_cat","sys_last_upd_dtm","Disqualifying Service Groupings ID","Last Update Datetime","datetime"
"dbo","cmc_vsdc_disq_cat","sys_usus_id","Disqualifying Service Groupings ID","Last Update User ID","varchar"
"dbo","cmc_vsdc_disq_cat","sys_dbuser_id","Disqualifying Service Groupings ID","Last Update DBMS User ID","varchar"
