"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_wmud_user_msg","pdbc_pfx","User Warning Messages Table","User Warning Messages Benefit Component Prefix","char"
"dbo","cmc_wmud_user_msg","wmud_app_lvl","User Warning Messages Table","User Warning Messages Application Indicator","char"
"dbo","cmc_wmud_user_msg","wmds_rec_type","User Warning Messages Table","User Warning Messages Record Type","char"
"dbo","cmc_wmud_user_msg","wmds_seq_no","User Warning Messages Table","User Warning Messages Sequence Number","smallint"
"dbo","cmc_wmud_user_msg","wmud_supp_ind","User Warning Messages Table","Suppress User Warning Message Indicator","char"
"dbo","cmc_wmud_user_msg","wmud_sec_lvl","User Warning Messages Table","User Defined Warning Messages Security Level","char"
"dbo","cmc_wmud_user_msg","wmud_ovr_text1","User Warning Messages Table","User Warning Messages Override 1 Text","char"
"dbo","cmc_wmud_user_msg","wmud_ovr_text2","User Warning Messages Table","User Warning Messages Override 2 Text","char"
"dbo","cmc_wmud_user_msg","wmud_mctr_reas","User Warning Messages Table","User Warning Messages Pend Reason","char"
"dbo","cmc_wmud_user_msg","wmud_lock_token","User Warning Messages Table","Lock Token","smallint"
"dbo","cmc_wmud_user_msg","atxr_source_id","User Warning Messages Table","Attachment Source Id","datetime"
