"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cmc_xccl_claim","xccl_id","XC Claim Deleted/Changed Data Table","System Identifier","char"
"dbo","cmc_xccl_claim","meme_ck","XC Claim Deleted/Changed Data Table","Member Contrived Key","int"
"dbo","cmc_xccl_claim","xccl_prpr_id","XC Claim Deleted/Changed Data Table","Provider ID","char"
"dbo","cmc_xccl_claim","xccl_prpr_npi","XC Claim Deleted/Changed Data Table","Provider NPI","char"
"dbo","cmc_xccl_claim","xccl_pr_type","XC Claim Deleted/Changed Data Table","Claim Provider Type","char"
"dbo","cmc_xccl_claim","xccl_fac_name","XC Claim Deleted/Changed Data Table","Facility Name","varchar"
"dbo","cmc_xccl_claim","xccl_fac_xlow","XC Claim Deleted/Changed Data Table","Facility Name Case Insensitive","char"
"dbo","cmc_xccl_claim","xccl_pr_last_name","XC Claim Deleted/Changed Data Table","Provider Last Name","varchar"
"dbo","cmc_xccl_claim","xccl_pr_last_xlow","XC Claim Deleted/Changed Data Table","Provider Last Name Case Insensitive","char"
"dbo","cmc_xccl_claim","xccl_pr_first_name","XC Claim Deleted/Changed Data Table","Provider First Name","varchar"
"dbo","cmc_xccl_claim","xccl_pr_txnm_cd","XC Claim Deleted/Changed Data Table","Provider Taxonomy Code","varchar"
"dbo","cmc_xccl_claim","xccl_sbsb_id","XC Claim Deleted/Changed Data Table","Subscriber ID","char"
"dbo","cmc_xccl_claim","xccl_sb_last_name","XC Claim Deleted/Changed Data Table","Subscriber Last Name","varchar"
"dbo","cmc_xccl_claim","xccl_sb_last_xlow","XC Claim Deleted/Changed Data Table","Subscriber Last Name Case Insensitive","char"
"dbo","cmc_xccl_claim","xccl_sb_first_name","XC Claim Deleted/Changed Data Table","Subscriber First Name","varchar"
"dbo","cmc_xccl_claim","xccl_me_last_name","XC Claim Deleted/Changed Data Table","Member Last Name","varchar"
"dbo","cmc_xccl_claim","xccl_me_last_xlow","XC Claim Deleted/Changed Data Table","Member Last Name Case Insensitive","char"
"dbo","cmc_xccl_claim","xccl_me_first_name","XC Claim Deleted/Changed Data Table","Member First  Name","varchar"
"dbo","cmc_xccl_claim","xccl_clcl_id","XC Claim Deleted/Changed Data Table","Claim ID","char"
"dbo","cmc_xccl_claim","xccl_pre_price_ind","XC Claim Deleted/Changed Data Table","Preprice Indicator","char"
"dbo","cmc_xccl_claim","xccl_low_svc_dt","XC Claim Deleted/Changed Data Table","Low Service Date","datetime"
"dbo","cmc_xccl_claim","xccl_high_svc_dt","XC Claim Deleted/Changed Data Table","High Service Date","datetime"
"dbo","cmc_xccl_claim","xccl_cl_sub_type","XC Claim Deleted/Changed Data Table","Claim Subtype","char"
"dbo","cmc_xccl_claim","xccl_recd_dt","XC Claim Deleted/Changed Data Table","Claim Received Date","datetime"
"dbo","cmc_xccl_claim","xccl_usus_id","XC Claim Deleted/Changed Data Table","User ID","char"
"dbo","cmc_xccl_claim","xccl_batch_action","XC Claim Deleted/Changed Data Table","Batch Action","char"
"dbo","cmc_xccl_claim","xccl_trad_partner","XC Claim Deleted/Changed Data Table","Trading Partner","varchar"
"dbo","cmc_xccl_claim","xccl_its_sbsb_id","XC Claim Deleted/Changed Data Table","ITS Subscriber ID","varchar"
"dbo","cmc_xccl_claim","xccl_its_sccf_no","XC Claim Deleted/Changed Data Table","ITS SCCF Number","varchar"
"dbo","cmc_xccl_claim","xccl_lock_token","XC Claim Deleted/Changed Data Table","Lock Token","smallint"
