source_schema,source_table,source_column,table_description,column_description,column_data_type
dbo,cmc_nwcc_gcom_rel,nwgx_id,Common Global Relationship,Common Global Capitation Relationship ID,char
dbo,cmc_nwcc_gcom_rel,nwnw_id,Common Global Relationship,Network ID,char
dbo,cmc_nwcc_gcom_rel,nwcr_pfx,Common Global Relationship,Global Capitation Relationship Prefix,char
dbo,cmc_nwcc_gcom_rel,nwcc_eff_dt,Common Global Relationship,Effective Date,datetime
dbo,cmc_nwcc_gcom_rel,nwcc_term_dt,Common Global Relationship,Termination Date,datetime
dbo,cmc_nwcc_gcom_rel,nwcc_mctr_trsn,Common Global Relationship,NWCC Drop Down,char
dbo,cmc_nwcc_gcom_rel,crfs_schd_id,Common Global Relationship,Capitation Schedule ID,char
dbo,cmc_nwcc_gcom_rel,crpl_pool_id,Common Global Relationship,Pool ID,char
dbo,cmc_nwcc_gcom_rel,agag_id,Common Global Relationship,Secondary Agreement ID,char
dbo,cmc_nwcc_gcom_rel,nwcc_adj_per,Common Global Relationship,Adjustment Period,smallint
dbo,cmc_nwcc_gcom_rel,nwcc_cap_ret_mos,Common Global Relationship,Retro Months,smallint
dbo,cmc_nwcc_gcom_rel,nwcc_lock_token,Common Global Relationship,Lock Token,smallint
dbo,cmc_nwcc_gcom_rel,sys_last_upd_dtm,Common Global Relationship,Last Update Datetime,datetime
dbo,cmc_nwcc_gcom_rel,sys_usus_id,Common Global Relationship,Last Update User ID,varchar
dbo,cmc_nwcc_gcom_rel,sys_dbuser_id,Common Global Relationship,Last Update DBMS User ID,varchar
dbo,cmc_nwcr_relation,nwnw_id,Network Capitation Relationship,Network ID,char
dbo,cmc_nwcr_relation,nwcr_pfx,Network Capitation Relationship,NWCR Prefix,char
dbo,cmc_nwcr_relation,nwcr_cr_pr_id,Network Capitation Relationship,Capitated Provider,char
dbo,cmc_nwcr_relation,nwcr_eff_dt,Network Capitation Relationship,Effective Date,datetime
dbo,cmc_nwcr_relation,nwcr_term_dt,Network Capitation Relationship,Termination Date,datetime
dbo,cmc_nwcr_relation,nwcr_mctr_trsn,Network Capitation Relationship,Termination Reason,char
dbo,cmc_nwcr_relation,crfs_schd_id,Network Capitation Relationship,Capitation Schedule ID,char
dbo,cmc_nwcr_relation,crpl_pool_id,Network Capitation Relationship,Capitation Pool ID,char
dbo,cmc_nwcr_relation,agag_id,Network Capitation Relationship,Agreement ID,char
dbo,cmc_nwcr_relation,nwcr_adj_per,Network Capitation Relationship,Retroactive Adjustment Period,smallint
dbo,cmc_nwcr_relation,nwcr_cap_ret_mos,Network Capitation Relationship,Retro Months,smallint
dbo,cmc_nwcr_relation,nwcr_lock_token,Network Capitation Relationship,Lock Token,smallint
dbo,cmc_nwcr_relation,atxr_source_id,Network Capitation Relationship,Attachment Source Id,datetime
dbo,cmc_nwcr_relation,sys_last_upd_dtm,Network Capitation Relationship,Last Update Datetime,datetime
dbo,cmc_nwcr_relation,sys_usus_id,Network Capitation Relationship,Last Update User ID,varchar
dbo,cmc_nwcr_relation,sys_dbuser_id,Network Capitation Relationship,Last Update DBMS User ID,varchar
dbo,cmc_nwgd_desc,nwgx_id,Common Global Capitation Relationship ID description,Common Global Capitation Relationship ID,char
dbo,cmc_nwgd_desc,nwgd_desc,Common Global Capitation Relationship ID description,Common Global Capitation Relationship IDDescription,char
dbo,cmc_nwgd_desc,nwgd_lock_token,Common Global Capitation Relationship ID description,Lock Token,smallint
dbo,cmc_nwgd_desc,atxr_source_id,Common Global Capitation Relationship ID description,Attachment Source Id,datetime
dbo,cmc_nwgp_net_group,nwgp_grp_id,Provider Network Group Definitions,Network Group Identifier,char
dbo,cmc_nwgp_net_group,nwgp_name,Provider Network Group Definitions,Network Group Name,char
dbo,cmc_nwgp_net_group,nwgp_name_xlow,Provider Network Group Definitions,Network Group Name Case Insensitivity Field,char
dbo,cmc_nwgp_net_group,nwgp_lock_token,Provider Network Group Definitions,Lock Token,smallint
dbo,cmc_nwgp_net_group,atxr_source_id,Provider Network Group Definitions,Attachment Source Id,datetime
dbo,cmc_nwgr_relation,nwgp_grp_id,Network Link to Network Groups,Network Group ID,char
dbo,cmc_nwgr_relation,nwnw_id,Network Link to Network Groups,Network Group Network ID,char
dbo,cmc_nwgr_relation,nwgr_lock_token,Network Link to Network Groups,Lock Token,smallint
dbo,cmc_nwgr_relation,atxr_source_id,Network Link to Network Groups,Attachment Source Id,datetime
dbo,cmc_nwgx_relation,prpr_id,Provider Common Global Capitation Relationship, Provider ID,char
dbo,cmc_nwgx_relation,nwgx_eff_dt,Provider Common Global Capitation Relationship,Effective Date,datetime
dbo,cmc_nwgx_relation,nwgx_term_dt,Provider Common Global Capitation Relationship,Termination Date,datetime
dbo,cmc_nwgx_relation,nwgx_mctr_trsn,Provider Common Global Capitation Relationship,Termination Reason,char
dbo,cmc_nwgx_relation,nwgx_id,Provider Common Global Capitation Relationship,Common Global Capitation Relationship ID,char
dbo,cmc_nwgx_relation,nwgx_lock_token,Provider Common Global Capitation Relationship,Lock Token,smallint
dbo,cmc_nwnw_network,nwnw_id,Provider Network Indicative Data,Network Identifier,char
dbo,cmc_nwnw_network,mcar_area_id,Provider Network Indicative Data,Network Area Identifier,char
dbo,cmc_nwnw_network,nwnw_name,Provider Network Indicative Data,Network Name,char
dbo,cmc_nwnw_network,nwnw_addr1,Provider Network Indicative Data,Network Address Line 1,char
dbo,cmc_nwnw_network,nwnw_addr2,Provider Network Indicative Data,Network Address Line 2,char
dbo,cmc_nwnw_network,nwnw_addr3,Provider Network Indicative Data,Network Address Line 3,char
dbo,cmc_nwnw_network,nwnw_city,Provider Network Indicative Data,Network Address City,char
dbo,cmc_nwnw_network,nwnw_state,Provider Network Indicative Data,Network Address State,char
dbo,cmc_nwnw_network,nwnw_zip,Provider Network Indicative Data,Network Address Zip Code,char
dbo,cmc_nwnw_network,nwnw_county,Provider Network Indicative Data,Network Address County,char
dbo,cmc_nwnw_network,nwnw_ctry_cd,Provider Network Indicative Data,Network Country,char
dbo,cmc_nwnw_network,nwnw_phone,Provider Network Indicative Data,Network Phone Number,char
dbo,cmc_nwnw_network,nwnw_phone_ext,Provider Network Indicative Data,Network Phone Extension,char
dbo,cmc_nwnw_network,nwnw_fax,Provider Network Indicative Data,Network Fax Number,char
dbo,cmc_nwnw_network,nwnw_fax_ext,Provider Network Indicative Data,Network Fax Extension,char
dbo,cmc_nwnw_network,nwnw_email,Provider Network Indicative Data,Email,char
dbo,cmc_nwnw_network,nwnw_mctr_type,Provider Network Indicative Data,Network Type,char
dbo,cmc_nwnw_network,nwnw_name_xlow,Provider Network Indicative Data,Network Name Case Insensitivity Field,char
