old_table_name,old_column_name,new_table_name,new_column_name
v_membereligibilityextended_combined_current,bkcc_member,current_member_eligibility,source
v_membereligibilityextended_combined_current,meme_ck,current_member_eligibility,member_bk
v_membereligibilityextended_combined_current,mepe_eff_dt,current_member_eligibility,elig_eff_date
v_membereligibilityextended_combined_current,mepe_term_dt,current_member_eligibility,elig_term_date
v_membereligibilityextended_combined_current,cspd_cat,current_member_eligibility,product_category_bk
v_membereligibilityextended_combined_current,mepe_elig_ind,current_member_eligibility,eligibility_ind
v_membercobextended_combined_current,bkcc_member,current_member_cob,source
v_membercobextended_combined_current,meme_ck,current_member_cob,member_bk
v_membercobextended_combined_current,mecb_eff_dt,current_member_cob,cob_eff_date
v_membercobextended_combined_current,mecb_term_dt,current_member_cob,cob_term_date
v_membercobextended_combined_current,mcre_id,current_member_cob,coverage_id
v_membercobextended_combined_current,mecb_insur_order,current_member_cob,insurance_order
v_membercobextended_combined_current,mecb_insur_type,current_member_cob,insurance_type
v_member_combined_current,bkcc_member,current_member,source
v_member_combined_current,meme_ck,current_member,member_bk
v_member_combined_current,sbsb_ck,current_member,subscriber_bk
v_member_combined_current,grgr_ck,current_member,group_bk
v_member_combined_current,meme_sfx,current_member,member_suffix
v_member_combined_current,meme_first_name,current_member,member_first_name
v_member_combined_current,dss_record_source,current_member,edp_record_source
v_subscriber_combined_current,bkcc_subscriber,current_subscriber,source
v_subscriber_combined_current,sbsb_ck,current_subscriber,subscriber_bk
v_subscriber_combined_current,sbsb_id,current_subscriber,subscriber_id
v_group_combined_current,bkcc_group,current_group,source
v_group_combined_current,grgr_ck,current_group,group_bk
v_group_combined_current,grgr_id,current_group,group_id
