old_table_name,old_column_name,new_table_name,new_column_name
v_group_combined_current,grgr_id,current_group,group_id
v_group_combined_current,grgr_ck,current_group,group_bk
v_group_combined_current,bkcc_group,current_group,source
v_groupclass_combined_current,cscs_id,current_class_group,class_bk
v_groupclass_combined_current,cscs_desc,current_class_group,class_description
v_groupclass_combined_current,grgr_ck,current_class_group,group_bk
v_groupclass_combined_current,bkcc_class,current_class_group,source
v_r_sourcebkcclookup,sourceid,r_source_system,source
v_r_sourcebkcclookup,sourcedescription,r_source_system,source_description
v_s_classtypeassignment_mroc_bcidaho_current,groupid,r_class_type_assignment,group_id
v_s_classtypeassignment_mroc_bcidaho_current,classid,r_class_type_assignment,class_bk
v_s_classtypeassignment_mroc_bcidaho_current,bkcc_class,r_class_type_assignment,source
v_s_classtypeassignment_mroc_bcidaho_current,effectivefromdate,r_class_type_assignment,effective_from
v_s_classtypeassignment_mroc_bcidaho_current,effectivetodate,r_class_type_assignment,effective_to
v_s_classtypeassignment_mroc_bcidaho_current,descriptionpk,r_class_type_assignment,description_key
v_s_classtypedescription_mroc_bcidaho_current,descriptionpk,r_class_type_assignment,description_key
v_s_classtypedescription_mroc_bcidaho_current,description,r_class_type_assignment,description
v_s_classtypedescription_mroc_bcidaho_current,bkcc_classtype,r_class_type_assignment,source
