old_table_name,old_column_name,new_table_name,new_column_name
v_group_combined_current,bkcc_group,current_group,source
v_group_combined_current,grgr_ck,current_group,group_bk
v_group_combined_current,grgr_id,current_group,group_id
v_groupclassplanextended_combined_current,bkcc_group,current_group_plan_eligibility,source
v_groupclassplanextended_combined_current,cscs_id,current_group_plan_eligibility,class_bk
v_groupclassplanextended_combined_current,cspd_cat,current_group_plan_eligibility,plan_category_bk
v_groupclassplanextended_combined_current,cspi_eff_dt,current_group_plan_eligibility,plan_eff_dt
v_groupclassplanextended_combined_current,cspi_id,current_group_plan_eligibility,plan_bk
v_groupclassplanextended_combined_current,cspi_term_dt,current_group_plan_eligibility,planterm_dt
v_groupclassplanextended_combined_current,grgr_ck,current_group_plan_eligibility,group_bk
v_groupclassplanextended_combined_current,nwst_pfx,current_group_plan_eligibility,network_set_prefix
v_groupclassplanextended_combined_current,pdpd_id,current_group_plan_eligibility,product_bk
v_member_combined_current,bkcc_member,current_member,source
v_member_combined_current,grgr_ck,current_member,group_bk
v_member_combined_current,meme_ck,current_member,member_bk
v_member_combined_current,meme_sfx,current_member,member_suffix
v_member_combined_current,sbsb_ck,current_member,subscriber_bk
v_membereligibilityextended_combined_current,bkcc_member,current_member_eligibility,source
v_membereligibilityextended_combined_current,cscs_id,current_member_eligibility,class_bk
v_membereligibilityextended_combined_current,cspd_cat,current_member_eligibility,plan_category_bk
v_membereligibilityextended_combined_current,cspi_id,current_member_eligibility,plan_bk
v_membereligibilityextended_combined_current,grgr_ck,current_member_eligibility,group_bk
v_membereligibilityextended_combined_current,meme_ck,current_member_eligibility,member_bk
v_membereligibilityextended_combined_current,mepe_eff_dt,current_member_eligibility,elig_eff_dt
v_membereligibilityextended_combined_current,mepe_elig_ind,current_member_eligibility,eligibility_ind
v_membereligibilityextended_combined_current,mepe_term_dt,current_member_eligibility,elig_term_dt
v_membereligibilityextended_combined_current,pdpd_id,current_member_eligibility,product_bk
v_productcomponent_combined_current,bkcc_productcomponentprefix,current_product_component,source
v_productcomponent_combined_current,pdbc_pfx,current_product_component,component_prefix_bk
v_productcomponent_combined_current,pdbc_type,current_product_component,component_type_bk
v_productcomponent_combined_current,pdpx_desc,current_product_component,component_prefix_description
v_providernetwork_combined_current,bkcc_providernetwork,current_network,source
v_providernetwork_combined_current,nwnw_id,current_network,network_bk
v_providernetwork_combined_current,nwnw_name,current_network,network_name
v_providernetworksetextended_combined_current,bkcc_providernetworksetprefix,current_network_set,source
v_providernetworksetextended_combined_current,dss_record_source,current_network_set,edp_record_source
v_providernetworksetextended_combined_current,nwnw_id,current_network_set,network_bk
v_providernetworksetextended_combined_current,nwpr_pfx,current_network_set,provider_network_prefix_bk
v_providernetworksetextended_combined_current,nwst_eff_dt,current_network_set,network_set_eff_dt
v_providernetworksetextended_combined_current,nwst_pfx,current_network_set,network_set_prefix_bk
v_providernetworksetextended_combined_current,nwst_seq_no,current_network_set,network_set_seq_no
v_providernetworksetextended_combined_current,nwst_term_dt,current_network_set,network_set_term_dt
v_subscriber_combined_current,bkcc_subscriber,current_subscriber,source
v_subscriber_combined_current,sbsb_ck,current_subscriber,subscriber_bk
v_subscriber_combined_current,sbsb_id,current_subscriber,subscriber_id
