"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","bpa_brgu_rul_grp_u","brgu_gu_id","Business Process Rule Group Usage","Rule Group Usage GUID","char"
"dbo","bpa_brgu_rul_grp_u","rltd_rule_type","Business Process Rule Group Usage","Rule Type","char"
"dbo","bpa_brgu_rul_grp_u","bptd_bus_pcs_type","Business Process Rule Group Usage","Business Process Type","char"
"dbo","bpa_brgu_rul_grp_u","brgu_eff_dt","Business Process Rule Group Usage","Effective Date","datetime"
"dbo","bpa_brgu_rul_grp_u","brgu_term_dt","Business Process Rule Group Usage","Termination Date","datetime"
"dbo","bpa_brgu_rul_grp_u","brgu_usage_id","Business Process Rule Group Usage","Rule Group Usage ID","varchar"
"dbo","bpa_brgu_rul_grp_u","brgu_lock_token","Business Process Rule Group Usage","Lock Token","smallint"
"dbo","bpa_brgu_rul_grp_u","atxr_source_id","Business Process Rule Group Usage","Attachment Source Id","datetime"
"dbo","bpa_brgu_rul_grp_u","sys_last_upd_dtm","Business Process Rule Group Usage","Last Update Datetime","datetime"
"dbo","bpa_brgu_rul_grp_u","sys_usus_id","Business Process Rule Group Usage","Last Update User ID","varchar"
"dbo","bpa_brgu_rul_grp_u","sys_dbuser_id","Business Process Rule Group Usage","Last Update DBMS User ID","varchar"
