"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","bpa_qldf_qual_d","qldf_id","Qualifier Definition","Qualifier ID","char"
"dbo","bpa_qldf_qual_d","qldf_method","Qualifier Definition","Qualifier Name","varchar"
"dbo","bpa_qldf_qual_d","qltd_qual_type","Qualifier Definition","Qualifier Type","char"
"dbo","bpa_qldf_qual_d","qldf_entry_type","Qualifier Definition","Entry Type","int"
"dbo","bpa_qldf_qual_d","qldf_data_type","Qualifier Definition","Data Type","char"
"dbo","bpa_qldf_qual_d","qldf_default_val","Qualifier Definition","Qualified Default Value","varchar"
"dbo","bpa_qldf_qual_d","qldf_parm_style","Qualifier Definition","Parameter Style","char"
"dbo","bpa_qldf_qual_d","apmd_id","Qualifier Definition","Module ID","varchar"
"dbo","bpa_qldf_qual_d","mctr_entity","Qualifier Definition","User Defined Codes Entity","char"
"dbo","bpa_qldf_qual_d","mctr_type","Qualifier Definition","User Defined Codes Type","char"
"dbo","bpa_qldf_qual_d","qldf_lock_token","Qualifier Definition","Lock Token","smallint"
"dbo","bpa_qldf_qual_d","atxr_source_id","Qualifier Definition","Attachment Source Id","datetime"
"dbo","bpa_qldf_qual_d","sys_last_upd_dtm","Qualifier Definition","Last Update Datetime","datetime"
"dbo","bpa_qldf_qual_d","sys_usus_id","Qualifier Definition","Last Update User ID","varchar"
"dbo","bpa_qldf_qual_d","sys_dbuser_id","Qualifier Definition","Last Update DBMS User ID","varchar"
