"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","bpa_qlgr_qgrp_d","qlgr_gu_id","Qualifier Group","Qualifier Group ID","char"
"dbo","bpa_qlgr_qgrp_d","qlgr_grp_desc","Qualifier Group","Qualifier Group Description","varchar"
"dbo","bpa_qlgr_qgrp_d","rltd_rule_type","Qualifier Group","Rule Type","char"
"dbo","bpa_qlgr_qgrp_d","qltd_qual_type","Qualifier Group","Qualifier Type","char"
"dbo","bpa_qlgr_qgrp_d","qlgr_eff_dt","Qualifier Group","Effective Date","datetime"
"dbo","bpa_qlgr_qgrp_d","qlgr_term_dt","Qualifier Group","Termination Date","datetime"
"dbo","bpa_qlgr_qgrp_d","qlgr_and_or_ind","Qualifier Group","Qualifier And/Or logic Indicator","char"
"dbo","bpa_qlgr_qgrp_d","qlgr_same_line_ind","Qualifier Group","Same Line Indicator","char"
"dbo","bpa_qlgr_qgrp_d","qlgr_lock_token","Qualifier Group","Lock Token","smallint"
"dbo","bpa_qlgr_qgrp_d","atxr_source_id","Qualifier Group","Attachment Source Id","datetime"
"dbo","bpa_qlgr_qgrp_d","sys_last_upd_dtm","Qualifier Group","Last Update Datetime","datetime"
"dbo","bpa_qlgr_qgrp_d","sys_usus_id","Qualifier Group","Last Update User ID","varchar"
"dbo","bpa_qlgr_qgrp_d","sys_dbuser_id","Qualifier Group","Last Update DBMS User ID","varchar"
