"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","bpa_rlgd_rul_grp_d","rlgd_gu_id","Rule Group","Group ID","char"
"dbo","bpa_rlgd_rul_grp_d","rlgd_rul_grp_id","Rule Group","Rule Group ID","char"
"dbo","bpa_rlgd_rul_grp_d","rltd_rule_type","Rule Group","Rule Type","char"
"dbo","bpa_rlgd_rul_grp_d","qltd_qual_type","Rule Group","Qualifier Type","char"
"dbo","bpa_rlgd_rul_grp_d","rlgd_desc","Rule Group","Rule Group Description","varchar"
"dbo","bpa_rlgd_rul_grp_d","rlgd_eff_dt","Rule Group","Effective Date","datetime"
"dbo","bpa_rlgd_rul_grp_d","rlgd_term_dt","Rule Group","Termination Date","datetime"
"dbo","bpa_rlgd_rul_grp_d","rlgd_rtyp_pcs_seq","Rule Group","Processing Sequence","smallint"
"dbo","bpa_rlgd_rul_grp_d","rlgd_lock_token","Rule Group","Lock Token","smallint"
"dbo","bpa_rlgd_rul_grp_d","atxr_source_id","Rule Group","Attachment Source Id","datetime"
"dbo","bpa_rlgd_rul_grp_d","sys_last_upd_dtm","Rule Group","Last Update Datetime","datetime"
"dbo","bpa_rlgd_rul_grp_d","sys_usus_id","Rule Group","Last Update User ID","varchar"
"dbo","bpa_rlgd_rul_grp_d","sys_dbuser_id","Rule Group","Last Update DBMS User ID","varchar"
"dbo","bpa_rlgd_rul_grp_d","rlgd_status_nvl","Rule Group","","smallint"
"dbo","bpa_rlgd_rul_grp_d","rlgd_default_ind_nvl","Rule Group","","char"
