"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","bpa_shdr_section_hdr","shdr_group_id","Section Header","Section Header Usage ID","varchar"
"dbo","bpa_shdr_section_hdr","qltd_qual_type","Section Header","Qualifier Type","char"
"dbo","bpa_shdr_section_hdr","rltd_rule_type","Section Header","Rule Type","char"
"dbo","bpa_shdr_section_hdr","shdr_id","Section Header","Section Header ID","char"
"dbo","bpa_shdr_section_hdr","shdr_section","Section Header","Section ID","smallint"
"dbo","bpa_shdr_section_hdr","rlbp_gu_id","Section Header","Rule ID","char"
"dbo","bpa_shdr_section_hdr","shdr_lock_token","Section Header","Lock Token","smallint"
"dbo","bpa_shdr_section_hdr","atxr_source_id","Section Header","Attachment Source Id","datetime"
"dbo","bpa_shdr_section_hdr","sys_last_upd_dtm","Section Header","Last Update Datetime","datetime"
"dbo","bpa_shdr_section_hdr","sys_usus_id","Section Header","Last Update User ID","varchar"
"dbo","bpa_shdr_section_hdr","sys_dbuser_id","Section Header","Last Update DBMS User ID","varchar"
