"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cae_membelig_temp","row_id","Data Publication Manager Table","Row Identifier","numeric"
"dbo","cae_membelig_temp","actioncode","Data Publication Manager Table","Action Code","char"
"dbo","cae_membelig_temp","memberck","Data Publication Manager Table","","int"
"dbo","cae_membelig_temp","planentrydate","Data Publication Manager Table","","datetime"
"dbo","cae_membelig_temp","productcategorycode","Data Publication Manager Table","","char"
"dbo","cae_membelig_temp","productcategorydesc","Data Publication Manager Table","","varchar"
"dbo","cae_membelig_temp","effectivedate","Data Publication Manager Table","","datetime"
"dbo","cae_membelig_temp","eligibilitycreatedate","Data Publication Manager Table","","datetime"
"dbo","cae_membelig_temp","termdate","Data Publication Manager Table","","datetime"
"dbo","cae_membelig_temp","groupck","Data Publication Manager Table","","int"
"dbo","cae_membelig_temp","groupname","Data Publication Manager Table","","varchar"
"dbo","cae_membelig_temp","classid","Data Publication Manager Table","","char"
"dbo","cae_membelig_temp","classdesc","Data Publication Manager Table","","varchar"
"dbo","cae_membelig_temp","planid","Data Publication Manager Table","","char"
"dbo","cae_membelig_temp","plandesc","Data Publication Manager Table","","varchar"
"dbo","cae_membelig_temp","explanationcode","Data Publication Manager Table","","char"
"dbo","cae_membelig_temp","explanationdesc","Data Publication Manager Table","","varchar"
"dbo","cae_membelig_temp","eligibilityind","Data Publication Manager Table","","char"
"dbo","cae_membelig_temp","familyind","Data Publication Manager Table","","char"
"dbo","cae_membelig_temp","eligibilityreasoncode","Data Publication Manager Table","","char"
"dbo","cae_membelig_temp","eligibilityreasondesc","Data Publication Manager Table","","varchar"
"dbo","cae_membelig_temp","memberstatus","Data Publication Manager Table","","char"
"dbo","cae_membelig_temp","ineligibleexplanationcode","Data Publication Manager Table","","char"
"dbo","cae_membelig_temp","productid","Data Publication Manager Table","","char"
"dbo","cae_membelig_temp","productdesc","Data Publication Manager Table","","varchar"
"dbo","cae_membelig_temp","preexistind","Data Publication Manager Table","","char"
"dbo","cae_membelig_temp","eligibilitytype","Data Publication Manager Table","","char"
