"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","caet_meme_temp","meme_ck","Data Publication Manager Table","Member Contrived Key","int"
"dbo","caet_meme_temp","grgr_ck","Data Publication Manager Table","Group Address Line 1","int"
"dbo","caet_meme_temp","meme_last_name","Data Publication Manager Table","Birth Date","char"
"dbo","caet_meme_temp","meme_first_name","Data Publication Manager Table","Birth Date","char"
"dbo","caet_meme_temp","meme_mid_init","Data Publication Manager Table","Birth Date","char"
"dbo","caet_meme_temp","meme_sfx","Data Publication Manager Table","Birth Date","smallint"
"dbo","caet_meme_temp","memberid","Data Publication Manager Table","","char"
"dbo","caet_meme_temp","meme_sex","Data Publication Manager Table","Birth Date","char"
"dbo","caet_meme_temp","meme_birth_dt","Data Publication Manager Table","Birth Date","datetime"
"dbo","caet_meme_temp","meme_marital_status","Data Publication Manager Table","Birth Date","char"
"dbo","caet_meme_temp","meme_rel","Data Publication Manager Table","Birth Date","char"
"dbo","caet_meme_temp","grgr_id","Data Publication Manager Table","Group Address Line 1","char"
"dbo","caet_meme_temp","sbsb_id","Data Publication Manager Table","Subscriber ID","char"
"dbo","caet_meme_temp","sbsb_last_name","Data Publication Manager Table","Subscriber Last Name","char"
"dbo","caet_meme_temp","sbsb_first_name","Data Publication Manager Table","Subscriber First Name","char"
"dbo","caet_meme_temp","sbsb_mid_init","Data Publication Manager Table","Subscriber Middle Initial","char"
"dbo","caet_meme_temp","subentity","Data Publication Manager Table","","char"
"dbo","caet_meme_temp","idlrun","Data Publication Manager Table","","int"
