"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","caet_pub_event","entity","Data Publication Manager Table","","varchar"
"dbo","caet_pub_event","subentity","Data Publication Manager Table","","varchar"
"dbo","caet_pub_event","pubtype","Data Publication Manager Table","","int"
"dbo","caet_pub_event","lowdtm","Data Publication Manager Table","","datetime"
"dbo","caet_pub_event","highdtm","Data Publication Manager Table","","datetime"
"dbo","caet_pub_event","step","Data Publication Manager Table","","smallint"
"dbo","caet_pub_event","totalsteps","Data Publication Manager Table","","smallint"
"dbo","caet_pub_event","eventdtm","Data Publication Manager Table","","datetime"
"dbo","caet_pub_event","recordcount","Data Publication Manager Table","","int"
"dbo","caet_pub_event","comments","Data Publication Manager Table","","varchar"
