"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cdh_ibwk_work_empdemo","seqid","","Sequence ID","numeric"
"dbo","cdh_ibwk_work_empdemo","recordid","","Record ID","varchar"
"dbo","cdh_ibwk_work_empdemo","payerid","","Payer ID","varchar"
"dbo","cdh_ibwk_work_empdemo","employerid","","Employer ID","varchar"
"dbo","cdh_ibwk_work_empdemo","ssn","","SSN","char"
"dbo","cdh_ibwk_work_empdemo","employeeid","","Employee ID","varchar"
"dbo","cdh_ibwk_work_empdemo","prefix","","Prefix","char"
"dbo","cdh_ibwk_work_empdemo","lastname","","Last Name","varchar"
"dbo","cdh_ibwk_work_empdemo","firstname","","First Name","char"
"dbo","cdh_ibwk_work_empdemo","midname","","Middle Name","char"
"dbo","cdh_ibwk_work_empdemo","phone","","Phone","varchar"
"dbo","cdh_ibwk_work_empdemo","addrline1","","Address line 1","char"
"dbo","cdh_ibwk_work_empdemo","addrline2","","Address line 2","char"
"dbo","cdh_ibwk_work_empdemo","city","","City","char"
"dbo","cdh_ibwk_work_empdemo","state","","State","char"
"dbo","cdh_ibwk_work_empdemo","zip","","Zip code","char"
"dbo","cdh_ibwk_work_empdemo","country","","Country","varchar"
"dbo","cdh_ibwk_work_empdemo","reimbursementcode","","Pay code","int"
"dbo","cdh_ibwk_work_empdemo","email","","Email","char"
"dbo","cdh_ibwk_work_empdemo","userdefined","","User defined","int"
"dbo","cdh_ibwk_work_empdemo","employeestatus","","Status","int"
"dbo","cdh_ibwk_work_empdemo","gender","","Gender","int"
"dbo","cdh_ibwk_work_empdemo","maritalstatus","","Marital Status","int"
"dbo","cdh_ibwk_work_empdemo","shippingaddrline1","","Address line 1","char"
"dbo","cdh_ibwk_work_empdemo","shippingaddrline2","","Address line 2","char"
"dbo","cdh_ibwk_work_empdemo","shippingcity","","City","char"
"dbo","cdh_ibwk_work_empdemo","shippingstate","","State","char"
"dbo","cdh_ibwk_work_empdemo","shippingzip","","Zip Code","char"
"dbo","cdh_ibwk_work_empdemo","shippingcountry","","Country","varchar"
"dbo","cdh_ibwk_work_empdemo","birthdate","","Birth date","datetime"
"dbo","cdh_ibwk_work_empdemo","routingnumber","","Routing Number","varchar"
"dbo","cdh_ibwk_work_empdemo","accountnumber","","Bank Account Number","varchar"
"dbo","cdh_ibwk_work_empdemo","accounttypecode","","Account Type","varchar"
"dbo","cdh_ibwk_work_empdemo","remarks","","Remarks","int"
"dbo","cdh_ibwk_work_empdemo","vendorid","","Vendor ID","varchar"
"dbo","cdh_ibwk_work_empdemo","eligibilitydate","","Eligibility Date","datetime"
"dbo","cdh_ibwk_work_empdemo","terminationdate","","Termination Date","datetime"
"dbo","cdh_ibwk_work_empdemo","actioncode","","Action code","char"
