"source_schema","source_table","source_column","table_description","column_description","column_data_type"
"dbo","cdh_icwk_work_empaccount","seqid","CDH work table","Sequence ID","numeric"
"dbo","cdh_icwk_work_empaccount","recordid","CDH work table","Record ID","varchar"
"dbo","cdh_icwk_work_empaccount","payerid","CDH work table","Payer ID","varchar"
"dbo","cdh_icwk_work_empaccount","employerid","CDH work table","Employer ID","varchar"
"dbo","cdh_icwk_work_empaccount","planid","CDH work table","Plan ID","varchar"
"dbo","cdh_icwk_work_empaccount","employeeid","CDH work table","Employee ID","varchar"
"dbo","cdh_icwk_work_empaccount","accounttypecode","CDH work table","Acount type","varchar"
"dbo","cdh_icwk_work_empaccount","planstartdate","CDH work table","Plan start date","datetime"
"dbo","cdh_icwk_work_empaccount","planenddate","CDH work table","Plan end date","datetime"
"dbo","cdh_icwk_work_empaccount","status","CDH work table","Status","int"
"dbo","cdh_icwk_work_empaccount","prefundedamt","CDH work table","Prefunded Amount","numeric"
"dbo","cdh_icwk_work_empaccount","employeeelection","CDH work table","Employee Election","numeric"
"dbo","cdh_icwk_work_empaccount","employerelection","CDH work table","Employee Election","numeric"
"dbo","cdh_icwk_work_empaccount","lastallocdate","CDH work table","Last Alloccation Date","datetime"
"dbo","cdh_icwk_work_empaccount","accountoption","CDH work table","Account option","int"
"dbo","cdh_icwk_work_empaccount","bankid","CDH work table","Bank ID","char"
"dbo","cdh_icwk_work_empaccount","effectivedate","CDH work table","Effective Date","datetime"
"dbo","cdh_icwk_work_empaccount","individualamt","CDH work table","Individual amount","numeric"
"dbo","cdh_icwk_work_empaccount","esignatureflag","CDH work table","Signature Flag","varchar"
"dbo","cdh_icwk_work_empaccount","esignaturedate","CDH work table","Signarture Date","datetime"
"dbo","cdh_icwk_work_empaccount","esignaturetime","CDH work table","Signature Time","varchar"
"dbo","cdh_icwk_work_empaccount","terminationdate","CDH work table","Termination Date","datetime"
"dbo","cdh_icwk_work_empaccount","actioncode","CDH work table","Action Code","char"
